row_label_raw,row_label_full,Tài sản tài chính,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
"1.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, tự do chuyển nhượng","1.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, tự do chuyển nhượng","1.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, tự do chuyển nhượng",4.293.430.000,8.504.620.000,4293430000.0,8504620000.0
"2.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, hạn chế chuyển nhượng","2.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, hạn chế chuyển nhượng","2.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, hạn chế chuyển nhượng",266.037.310.000,248.240.010.000,266037310000.0,248240010000.0
"3.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, cầm cố","3.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, cầm cố","3.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, cầm cố",,,,
"4.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, phong tỏa, tạm giữ","4.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, phong tỏa, tạm giữ","4.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, phong tỏa, tạm giữ",,,,
Cộng,"4.Tài sản tài chính đã lưu ký tại VSD và chưa giao dịch, phong tỏa, tạm giữ > Cộng",Cộng,270.330.740.000,256.744.630.000,270330740000.0,256744630000.0
A.7.18. Tài sản tài chính chờ về của Nhà đầu tư,A.7.18. Tài sản tài chính chờ về của Nhà đầu tư,A.7.18. Tài sản tài chính chờ về của Nhà đầu tư,A.7.18. Tài sản tài chính chờ về của Nhà đầu tư,A.7.18. Tài sản tài chính chờ về của Nhà đầu tư,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Số cuối năm,Số đầu năm,,
Tài sản tài chính chờ về của Nhà đầu tư,Tài sản tài chính > Tài sản tài chính chờ về của Nhà đầu tư,Tài sản tài chính chờ về của Nhà đầu tư,544.582.770.000,324.126.158.300,544582770000.0,324126158300.0
Cộng,Tài sản tài chính > Cộng,Cộng,544.582.770.000,324.126.158.300,544582770000.0,324126158300.0
A.7.19. Tài sản tài chính được hưởng quyền của Nhà đầu tư,A.7.19. Tài sản tài chính được hưởng quyền của Nhà đầu tư,A.7.19. Tài sản tài chính được hưởng quyền của Nhà đầu tư,A.7.19. Tài sản tài chính được hưởng quyền của Nhà đầu tư,A.7.19. Tài sản tài chính được hưởng quyền của Nhà đầu tư,,
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Số cuối năm,Số đầu năm,,
Tài sản tài chính được hưởng quyền của Nhà đầu tư,Tài sản tài chính > Tài sản tài chính được hưởng quyền của Nhà đầu tư,Tài sản tài chính được hưởng quyền của Nhà đầu tư,140.201.130.000,58.479.700.000,140201130000.0,58479700000.0
Cộng,Tài sản tài chính > Cộng,Cộng,140.201.130.000,58.479.700.000,140201130000.0,58479700000.0
