row_label_raw,row_label_full,Loại vay ngắn hạn,Lãi suất vay,Số dư vay đầu năm,Số vay trong năm,Số trả trong năm,Số dư cuối năm,numeric__Lãi suất vay,numeric__Số dư vay đầu năm,numeric__Số vay trong năm,numeric__Số trả trong năm,numeric__Số dư cuối năm
Vay ngân hàng trong nước,Vay ngân hàng trong nước,Vay ngân hàng trong nước,,1.308.000.000.000,7.898.000.000.000,6.114.000.000.000,3.092.000.000.000,,1308000000000.0,7898000000000.0,6114000000000.0,3092000000000.0
Ngân hàng TMCP Quốc Tế VN- VIB,Ngân hàng TMCP Quốc Tế VN- VIB,Ngân hàng TMCP Quốc Tế VN- VIB,"5,95%-7,85%",300.000.000.000,950.000.000.000,850.000.000.000,400.000.000.000,,300000000000.0,950000000000.0,850000000000.0,400000000000.0
Ngân hàng Thương Mại Cổ Phân Công Thương Việt Nam - Chi Nhánh Nam Thăng Long,Ngân hàng Thương Mại Cổ Phân Công Thương Việt Nam - Chi Nhánh Nam Thăng Long,Ngân hàng Thương Mại Cổ Phân Công Thương Việt Nam - Chi Nhánh Nam Thăng Long,"3,8%-7%",170.000.000.000,1.700.000.000.000,1.070.000.000.000,800.000.000.000,,170000000000.0,1700000000000.0,1070000000000.0,800000000000.0
Ngân hàng Thương mại Cổ Phân Hàng Hải Việt Nam,Ngân hàng Thương mại Cổ Phân Hàng Hải Việt Nam,Ngân hàng Thương mại Cổ Phân Hàng Hải Việt Nam,"5,2%-7,5%",300.000.000.000,2.600.000.000.000,2.400.000.000.000,500.000.000.000,,300000000000.0,2600000000000.0,2400000000000.0,500000000000.0
Ngân hàng TMCP Việt Nam Thịnh Vượng-VPBANK,Ngân hàng TMCP Việt Nam Thịnh Vượng-VPBANK,Ngân hàng TMCP Việt Nam Thịnh Vượng-VPBANK,"5,5%",,300.000.000.000,,300.000.000.000,0.055,,300000000000.0,,300000000000.0
Ngân hàng TNHH MTV Woori Việt Nam-CN Hoàn Kiểm,Ngân hàng TNHH MTV Woori Việt Nam-CN Hoàn Kiểm,Ngân hàng TNHH MTV Woori Việt Nam-CN Hoàn Kiểm,"4,5%-8,97%",178.000.000.000,534.000.000.000,534.000.000.000,178.000.000.000,,178000000000.0,534000000000.0,534000000000.0,178000000000.0
Ngân hàng TMCP Ngoại Thương VN-CN Thanh Xuân,Ngân hàng TMCP Ngoại Thương VN-CN Thanh Xuân,Ngân hàng TMCP Ngoại Thương VN-CN Thanh Xuân,"4,5%-8%",360.000.000.000,1.350.000.000.000,1.260.000.000.000,450.000.000.000,,360000000000.0,1350000000000.0,1260000000000.0,450000000000.0
Ngân hàng TMCP Phát Triển Thành phố Hồ Chí Minh (HDBank),Ngân hàng TMCP Phát Triển Thành phố Hồ Chí Minh (HDBank),Ngân hàng TMCP Phát Triển Thành phố Hồ Chí Minh (HDBank),5%,,464.000.000.000,,464.000.000.000,0.05,,464000000000.0,,464000000000.0
"Vay các tổ chức, cá nhân khác trong nước","Vay các tổ chức, cá nhân khác trong nước","Vay các tổ chức, cá nhân khác trong nước","2,3%-5,8%",,449.279.862.084,393.178.026.391,56.101.835.693,,,449279862084.0,393178026391.0,56101835693.0
Cộng,Cộng,Cộng,,1.308.000.000.000,8.347.279.862.084,6.507.178.026.391,3.148.101.835.693,,1308000000000.0,8347279862084.0,6507178026391.0,3148101835693.0
