row_label_raw,row_label_full,col_0,Trụ sở làm việc Triệu VND,Thiết bị văn phòng Triệu VND,Phương tiện vận chuyển Triệu VND,Tài sản cố định khác Triệu VND,Tổng cộng Triệu VND,numeric__Trụ sở làm việc Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tài sản cố định khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2020,Nguyên giá > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,2.493.288,1.595.814,381.807,160.392,4.631.301,2493288.0,1595814.0,381807.0,160392.0,4631301.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,1.792,183.049,54.017,4.520,243.378,1792.0,183049.0,54017.0,4520.0,243378.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,45.217,-,-,-,45.217,45217.0,,,,45217.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(51.636),(17.602),(8.233),(77.471),,-51636.0,-17602.0,-8233.0,-77471.0
Tại ngày 31 tháng 12 năm 2020,Nguyên giá > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,2.540.297,1.727.227,418.222,156.679,4.842.425,2540297.0,1727227.0,418222.0,156679.0,4842425.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2020,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,465.356,1.102.393,233.950,147.512,1.949.211,465356.0,1102393.0,233950.0,147512.0,1949211.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,65.219,184.073,35.617,6.337,291.246,65219.0,184073.0,35617.0,6337.0,291246.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,-,(51.287),(16.804),(8.222),(76.313),,-51287.0,-16804.0,-8222.0,-76313.0
Tại ngày 31 tháng 12 năm 2020,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,530.575,1.235.179,252.763,145.627,2.164.144,530575.0,1235179.0,252763.0,145627.0,2164144.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2020,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2020,Tại ngày 1 tháng 1 năm 2020,2.027.932,493.421,147.857,12.880,2.682.090,2027932.0,493421.0,147857.0,12880.0,2682090.0
Tại ngày 31 tháng 12 năm 2020,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,2.009.722,492.048,165.459,11.052,2.678.281,2009722.0,492048.0,165459.0,11052.0,2678281.0
