row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2020Triệu VND,Tại ngày > 31.12.2019Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2020Triệu VND,numeric__Tại ngày > 31.12.2019Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,14,22.530.219,19.200.683,,14.0,22530219.0,19200683.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,15.119.326,16.691.060,,,15119326.0,16691060.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,7.410.893,2.509.623,,,7410893.0,2509623.0
III,B > III,III,Tiền gửi của khách hàng,15,353.322.693,308.493.813,,15.0,353322693.0,308493813.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",16,116.705,156.147,,16.0,116705.0,156147.0
VI,B > VI,VI,Phát hành giấy tờ có giá,17,21.606.697,20.329.836,,17.0,21606697.0,20329836.0
VII,B > VII,VII,Các khoản nợ khác,,9.594.792,7.375.838,,,9594792.0,7375838.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,5.091.490,4.359.384,,,5091490.0,4359384.0
3,B > 3,3,Các khoản phải trả và công nợ khác,18,4.503.302,3.016.454,,18.0,4503302.0,3016454.0
,,,TỔNG NỘ PHẢI TRẢ,,407.171.106,355.556.317,,,407171106.0,355556317.0
VIII,B > VIII,VIII,VỐN CHỦ SỞ HỮU,19,34.822.643,27.329.301,,19.0,34822643.0,27329301.0
1,B > 1,1,Vốn của tổ chức tín dụng,19.1,21.887.364,16.799.171,,191.0,21887364.0,16799171.0
a,B > a,a,Vốn điều lệ,,21.615.585,16.627.373,,,21615585.0,16627373.0
c,B > c,c,Thặng dư vốn cổ phần,,271.779,271.779,,,271779.0,271779.0
d,B > d,d,Cổ phiếu quỹ,,-,(99.981),,,,-99981.0
2,B > 2,2,Quỹ của tổ chức tín dụng,19.1,5.381.055,4.257.051,,191.0,5381055.0,4257051.0
5,B > 5,5,Lợi nhuận chưa phân phối,19.1,7.554.224,6.273.079,,191.0,7554224.0,6273079.0
a,B > a,a,Lợi nhuận năm nay,,6.369.357,5.030.063,,,6369357.0,5030063.0
b,B > b,b,Lợi nhuận lũy kế năm trước,,1.184.867,1.243.016,,,1184867.0,1243016.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,34.822.643,27.329.301,,,34822643.0,27329301.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,441.993.749,382.885.618,,,441993749.0,382885618.0
