row_label_raw,row_label_full,Quá hạn,Không chịulãi suất,Dưới1 tháng,Từ 1 đến3 tháng,Từ trên 3đến 6 tháng,Từ trên 6đến 12 tháng,Từ trên 1đến 5 năm,Đơn vị: Triệu VND > Trên 5 năm,Đơn vị: Triệu VND > Tổng cộng,numeric__Không chịulãi suất,numeric__Dưới1 tháng,numeric__Từ 1 đến3 tháng,numeric__Từ trên 3đến 6 tháng,numeric__Từ trên 6đến 12 tháng,numeric__Từ trên 1đến 5 năm,numeric__Đơn vị: Triệu VND > Trên 5 năm,numeric__Đơn vị: Triệu VND > Tổng cộng
-,-,-,6.437.803,-,-,-,-,-,-,6.437.803,6437803.0,,,,,,,6437803.0
-,-,-,10.420.306,-,-,-,-,-,-,10.420.306,10420306.0,,,,,,,10420306.0
400.000,400.000,400.000,-,13.745.755,14.850.493,1.795.327,-,-,61.000,30.852.575,,13745755.0,14850493.0,1795327.0,,,61000.0,30852575.0
-,-,-,2.792.425,-,-,-,-,-,-,2.792.425,2792425.0,,,,,,,2792425.0
-,-,-,87.753,-,-,-,-,-,-,87.753,87753.0,,,,,,,87753.0
1.929.577,1.929.577,1.929.577,-,2.420.454,251.494.499,6.401.472,2.947.811,484.297,303.376,265.981.486,,2420454.0,251494499.0,6401472.0,2947811.0,484297.0,303376.0,265981486.0
-,-,-,708.161,-,-,-,-,25.221.860,30.493.004,56.423.025,708161.0,,,,,25221860.0,30493004.0,56423025.0
-,-,-,2.243.027,-,-,-,-,-,-,2.243.027,2243027.0,,,,,,,2243027.0
-,-,-,3.713.599,-,-,-,-,-,-,3.713.599,3713599.0,,,,,,,3713599.0
272.893,272.893,272.893,6.908.602,-,-,-,1.332.746,-,-,8.514.241,6908602.0,,,,1332746.0,,,8514241.0
2.602.470,2.602.470,2.602.470,33.311.676,16.166.209,266.344.992,8.196.799,4.280.557,25.706.157,30.857.380,387.466.240,33311676.0,16166209.0,266344992.0,8196799.0,4280557.0,25706157.0,30857380.0,387466240.0
-,-,-,-,15.410.113,3.790.570,-,-,-,-,19.200.683,,15410113.0,3790570.0,,,,,19200683.0
-,-,-,-,63.102.584,91.276.042,85.330.180,13.194.886,55.590.121,-,308.493.813,,63102584.0,91276042.0,85330180.0,13194886.0,55590121.0,,308493813.0
-,-,-,-,-,128.850,-,-,-,27.297,156.147,,,128850.0,,,,27297.0,156147.0
-,-,-,-,-,-,-,3.853.617,14.109.800,2.366.419,20.329.836,,,,,3853617.0,14109800.0,2366419.0,20329836.0
-,-,-,7.375.838,-,-,-,-,-,-,7.375.838,7375838.0,,,,,,,7375838.0
-,-,-,7.375.838,78.512.697,95.195.462,85.330.180,17.048.503,69.699.921,2.393.716,355.556.317,7375838.0,78512697.0,95195462.0,85330180.0,17048503.0,69699921.0,2393716.0,355556317.0
2.602.470,2.602.470,2.602.470,25.935.838(12.267.523),(62.346.488),171.149.530,(77.133.381),(12.767.946),(43.993.764),28.463.664,31.909.923(12.267.523),,-62346488.0,171149530.0,-77133381.0,-12767946.0,-43993764.0,28463664.0,
2.602.470,2.602.470,2.602.470,13.668.315,(62.346.488),171.149.530,(77.133.381),(12.767.946),(43.993.764),28.463.664,19.642.400,13668315.0,-62346488.0,171149530.0,-77133381.0,-12767946.0,-43993764.0,28463664.0,19642400.0
