row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2020 Triệu VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2019Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2020 Triệu VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2019Triệu VND
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
01,01,01,"Mua sắm tài sản cố định (""TSCĐ"")",,(416.699),(534.219),,,-416699.0,-534219.0
02,02,02,"Tiền thu từ thanh lý, nhượng bán TSCĐ",,3.199,22.133,,,3199.0,22133.0
08,08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,-,58.100,,,,58100.0
09,09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",,97.773,34.030,,,97773.0,34030.0
II,II,II,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG ĐẦU TƯ,,(315.727),(419.956),,,-315727.0,-419956.0
,,,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,,,,
02,02,02,Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,29.400,196.000,,,29400.0,196000.0
03,03,03,Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,,(170.000),-,,,-170000.0,
06,06,06,Tiền thu được do bán cổ phiếu quỹ,,-,837.523,,,,837523.0
III,III,III,LU'U CHUYÊN TIÊN THUẦN TỪ HOẠT ĐỘNG TÀI CHÍNH,,(140.600),1.033.523,,,-140600.0,1033523.0
IV,IV,IV,LU'U CHUYÊN TIÊN THUẦN TRONG NĂM,,10.210.447,6.337.211,,,10210447.0,6337211.0
V,V,V,TIÊN VÀ CÁC KHOẦN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM ĐẦU NĂM,,35.677.897,29.340.686,,,35677897.0,29340686.0
VII,VII,VII,TIÊN VÀ CÁC KHOẦN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM CUỐI NĂM,32,45.888.344,35.677.897,,32.0,45888344.0,35677897.0
