row_label_raw,row_label_full,col_0,Năm 2020 > Miền Bắc Triệu VND,Năm 2020 > Miền Trung Triệu VND,Năm 2020 > Miền Nam Triệu VND,Năm 2020 > Loại trừ Triệu VND,Năm 2020 > Tổng Triệu VND,numeric__Năm 2020 > Miền Bắc Triệu VND,numeric__Năm 2020 > Miền Trung Triệu VND,numeric__Năm 2020 > Miền Nam Triệu VND,numeric__Năm 2020 > Loại trừ Triệu VND,numeric__Năm 2020 > Tổng Triệu VND
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
1. Doanh thu lãi,Doanh thu > 1. Doanh thu lãi,1. Doanh thu lãi,9.869.936,4.899.941,62.123.883,(45.316.982),31.576.778,9869936.0,4899941.0,62123883.0,-45316982.0,31576778.0
Doanh thu lãi từ khách hàng bên ngoài,Doanh thu > Doanh thu lãi từ khách hàng bên ngoài,Doanh thu lãi từ khách hàng bên ngoài,4.732.794,3.723.082,23.120.902,-,31.576.778,4732794.0,3723082.0,23120902.0,,31576778.0
Doanh thu lãi từ nội bộ,Doanh thu > Doanh thu lãi từ nội bộ,Doanh thu lãi từ nội bộ,5.137.142,1.176.859,39.002.981,(45.316.982),-,5137142.0,1176859.0,39002981.0,-45316982.0,
2. Doanh thu từ hoạt động dịch vụ,Doanh thu > 2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,200.435,56.375,2.340.327,-,2.597.137,200435.0,56375.0,2340327.0,,2597137.0
3. Doanh thu từ hoạt động kinh doanh khác,Doanh thu > 3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,93.150,13.512,1.920.411,-,2.027.073,93150.0,13512.0,1920411.0,,2027073.0
Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,,,,,
1. Chi phí lãi,Chi phí > 1. Chi phí lãi,1. Chi phí lãi,(7.516.621),(3.516.836),(51.511.770),45.316.982,(17.228.245),-7516621.0,-3516836.0,-51511770.0,45316982.0,-17228245.0
Chi phí lãi khách hàng bên ngoài,Chi phí > Chi phí lãi khách hàng bên ngoài,Chi phí lãi khách hàng bên ngoài,(3.690.098),(720.930),(12.817.217),-,(17.228.245),-3690098.0,-720930.0,-12817217.0,,-17228245.0
Chi phí lãi nội bộ,Chi phí > Chi phí lãi nội bộ,Chi phí lãi nội bộ,(3.826.523),(2.795.906),(38.694.553),45.316.982,-,-3826523.0,-2795906.0,-38694553.0,45316982.0,
2. Chi phí khấu hao tài sản cố định,Chi phí > 2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,(28.072),(18.329),(307.155),-,(353.556),-28072.0,-18329.0,-307155.0,,-353556.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(1.264.783),(630.321),(6.416.999),-,(8.312.103),-1264783.0,-630321.0,-6416999.0,,-8312103.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Chi phí > Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,1.354.045,804.342,8.148.697,-,10.307.084,1354045.0,804342.0,8148697.0,,10307084.0
Chi phí dự phòng rủi ro,Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(122.866),(141.739),(685.165),-,(949.770),-122866.0,-141739.0,-685165.0,,-949770.0
Kết quả kinh doanh bộ phận,Chi phí > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,1.231.179,662.603,7.463.532,-,9.357.314,1231179.0,662603.0,7463532.0,,9357314.0
