row_label_raw,row_label_full,col_0,Mức độ rủi ro tín dụng tối đa,Mức độ rủi ro tín dụng tối đa_1,numeric__Mức độ rủi ro tín dụng tối đa,numeric__Mức độ rủi ro tín dụng tối đa_1
,,,31.12.2020Triệu VND,31.12.2019Triệu VND,,
Rủi ro tín dụng liên quan đến các tài sản nội bằng:,Rủi ro tín dụng liên quan đến các tài sản nội bằng:,Rủi ro tín dụng liên quan đến các tài sản nội bằng:,Rủi ro tín dụng liên quan đến các tài sản nội bằng:,Rủi ro tín dụng liên quan đến các tài sản nội bằng:,,
Tiền gửi tại Ngân hàng Nhà nước,Rủi ro tín dụng liên quan đến các tài sản nội bằng: > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,16.616.798,10.420.306,16616798.0,10420306.0
Tiền gửi và cho vay các TCTD khác,Rủi ro tín dụng liên quan đến các tài sản nội bằng: > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,31.396.600,30.852.575,31396600.0,30852575.0
Chứng khoán kinh doanh - chứng khoán nợ,Rủi ro tín dụng liên quan đến các tài sản nội bằng: > Chứng khoán kinh doanh - chứng khoán nợ,Chứng khoán kinh doanh - chứng khoán nợ,5.986.742,2.792.425,5986742.0,2792425.0
Các công cụ tài chính phải sinh,Rủi ro tín dụng liên quan đến các tài sản nội bằng: > Các công cụ tài chính phải sinh,Các công cụ tài chính phải sinh,54.473,87.753,54473.0,87753.0
Cho vay khách hàng,Rủi ro tín dụng liên quan đến các tài sản nội bằng: > Cho vay khách hàng,Cho vay khách hàng,307.617.524,265.981.486,307617524.0,265981486.0
"Chứng khoán đầu tư, trong đó:- Chứng khoán nợ - đầu tư sẵn sàng để bán","Rủi ro tín dụng liên quan đến các tài sản nội bằng: > Chứng khoán đầu tư, trong đó:- Chứng khoán nợ - đầu tư sẵn sàng để bán","Chứng khoán đầu tư, trong đó:- Chứng khoán nợ - đầu tư sẵn sàng để bán",10.082.271,9.893.342,10082271.0,9893342.0
- Chứng khoán nợ - đầu tư giữ đến ngày đáo hạn,Rủi ro tín dụng liên quan đến các tài sản nội bằng: > - Chứng khoán nợ - đầu tư giữ đến ngày đáo hạn,- Chứng khoán nợ - đầu tư giữ đến ngày đáo hạn,53.048.264,45.821.522,53048264.0,45821522.0
Các tài sân tài chính khác,Rủi ro tín dụng liên quan đến các tài sản nội bằng: > Các tài sân tài chính khác,Các tài sân tài chính khác,6.812.968,7.346.590,6812968.0,7346590.0
,,,431.615.640,373.195.999,431615640.0,373195999.0
Rủi ro tín dụng liên quan đến các tài khoản ngoại bằng:Các cam kết ngoại bằng,Rủi ro tín dụng liên quan đến các tài sản nội bằng: > Rủi ro tín dụng liên quan đến các tài khoản ngoại bằng:Các cam kết ngoại bằng,Rủi ro tín dụng liên quan đến các tài khoản ngoại bằng:Các cam kết ngoại bằng,15.228.560,12.267.523,15228560.0,12267523.0
