row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộng
,,,Trên 3 tháng,Đến 3 tháng,Đến 1 tháng,Từ trên 1 tháng đến 3 tháng,Từ trên 3 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,Tổng cộng,,,,,,,,
Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,Tại ngày 31 tháng 12 năm 2020,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,-,6.967.909,-,-,-,-,6.967.909,,,6967909.0,,,,,6967909.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,-,16.616.798,-,-,-,-,16.616.798,,,16616798.0,,,,,16616798.0
Tiền gửi và cho vay các TCTD khác (i),Tài sản > Tiền gửi và cho vay các TCTD khác (i),Tiền gửi và cho vay các TCTD khác (i),-,-,27.467.667,3.200.600,9.933,486.000,232.400,31.396.600,,,27467667.0,3200600.0,9933.0,486000.0,232400.0,31396600.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),-,-,5.986.742,-,-,-,-,5.986.742,,,5986742.0,,,,,5986742.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,54.473,-,-,-,-,54.473,,,54473.0,,,,,54473.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),1.683.659,482.977,14.134.726,43.479.351,120.386.941,25.297.019,102.152.851,307.617.524,1683659.0,482977.0,14134726.0,43479351.0,120386941.0,25297019.0,102152851.0,307617524.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,-,2.208.418,6.548.392,7.682.120,16.420.600,30.979.166,63.838.696,,,2208418.0,6548392.0,7682120.0,16420600.0,30979166.0,63838696.0
