row_label_raw,row_label_full,Năm cuối cùng còn hiệu lực > 2028,Tình hình quyết toán > Chưa quyết toán,Chi phí lãi vay được khấu trừ trong các năm sau VND > 178.083.126.300,numeric__Tình hình quyết toán > Chưa quyết toán,numeric__Chi phí lãi vay được khấu trừ trong các năm sau VND > 178.083.126.300
Lỗ tính thuế có hiệu lực như sau:,Lỗ tính thuế có hiệu lực như sau:,Lỗ tính thuế có hiệu lực như sau:,Lỗ tính thuế có hiệu lực như sau:,Lỗ tính thuế có hiệu lực như sau:,,
Năm cuối cùng còn hiệu lực,Năm cuối cùng còn hiệu lực,Năm cuối cùng còn hiệu lực,Tình hình quyết toán,Số lỗ được khấu trừ VND,,
2028,Năm cuối cùng còn hiệu lực > 2028,2028,Chưa quyết toán,10.769.312.383,,10769312383.0
