row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Dụng cụvăn phòngVND,Tài sản cố địnhhữu hình khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Dụng cụvăn phòngVND,numeric__Tài sản cố địnhhữu hình khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.332.328.271.354,1.235.843.352.719,163.016.426.109,11.770.225.176,1.010.875.210,2.743.969.150.568,1332328271354.0,1235843352719.0,163016426109.0,11770225176.0,1010875210.0,2743969150568.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,952.499.342,4.316.978.110,681.818.182,8.695.108.253,137.500.000,14.783.903.887,952499342.0,4316978110.0,681818182.0,8695108253.0,137500000.0,14783903887.0
Điều chỉnh nguyên giátheo quyết toán dự án,Nguyên giá > Điều chỉnh nguyên giátheo quyết toán dự án,Điều chỉnh nguyên giátheo quyết toán dự án,(4.339.349.286),1.224.353.158,1.553.511.922,-,-,(1.561.484.206),-4339349286.0,1224353158.0,1553511922.0,,,-1561484206.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,(1.930.285.714),(455.817.282),-,(2.386.102.996),,,-1930285714.0,-455817282.0,,-2386102996.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.328.941.421.410,1.241.384.683.987,163.321.470.499,20.009.516.147,1.148.375.210,2.754.805.467.253,1328941421410.0,1241384683987.0,163321470499.0,20009516147.0,1148375210.0,2754805467253.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,232.092.176.736,276.291.256.770,74.306.017.202,7.998.172.137,951.685.875,591.639.308.720,232092176736.0,276291256770.0,74306017202.0,7998172137.0,951685875.0,591639308720.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,47.783.125.500,70.536.484.708,16.567.711.193,1.708.741.145,35.577.008,136.631.639.554,47783125500.0,70536484708.0,16567711193.0,1708741145.0,35577008.0,136631639554.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,(1.930.285.714),(301.326.732),-,(2.231.612.446),,,-1930285714.0,-301326732.0,,-2231612446.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,279.875.302.236,346.827.741.478,88.943.442.681,9.405.586.550,987.262.883,726.039.335.828,279875302236.0,346827741478.0,88943442681.0,9405586550.0,987262883.0,726039335828.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.100.236.094.618,959.552.095.949,88.710.408.907,3.772.053.039,59.189.335,2.152.329.841.848,1100236094618.0,959552095949.0,88710408907.0,3772053039.0,59189335.0,2152329841848.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.049.066.119.174,894.556.942.509,74.378.027.818,10.603.929.597,161.112.327,2.028.766.131.425,1049066119174.0,894556942509.0,74378027818.0,10603929597.0,161112327.0,2028766131425.0
