row_label_raw,row_label_full,col_0,Địa chỉ,Tỷ lệ sở hữu và tỷ lệ quyền biểu quyết,1/1/2023 > Giá gốc VND,1/1/2023 > Dự phòng VND,1/1/2023 > Giá trị hợp lý VND,numeric__Địa chỉ,numeric__Tỷ lệ sở hữu và tỷ lệ quyền biểu quyết,numeric__1/1/2023 > Giá gốc VND,numeric__1/1/2023 > Dự phòng VND,numeric__1/1/2023 > Giá trị hợp lý VND
▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,▪ Công ty liên kết,,,,,
• Công ty Cổ phần Gang thép Cao Bằng,▪ Công ty liên kết > • Công ty Cổ phần Gang thép Cao Bằng,• Công ty Cổ phần Gang thép Cao Bằng,Cao Bằng,"25,09%",124.748.756.168,-,(*),,0.2509,124748756168.0,,
• Công ty Cổ phần Đầu tư Bất động sản CT2,▪ Công ty liên kết > • Công ty Cổ phần Đầu tư Bất động sản CT2,• Công ty Cổ phần Đầu tư Bất động sản CT2,Hà Nội,"49,00%",300.000.000.000,-,(*),,0.49,300000000000.0,,
• Công ty Cổ phần Western Pacific,▪ Công ty liên kết > • Công ty Cổ phần Western Pacific,• Công ty Cổ phần Western Pacific,TP Hồ Chí Minh,"30,08%",1.110.000.000.000,-,(*),,0.30079999999999996,1110000000000.0,,
,,,,,1.534.748.756.168,-,,,,1534748756168.0,,
▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,▪ Đơn vị khác,,,,,
• Công ty Cổ phần Bè tông Ly tâm Vinaincon,▪ Đơn vị khác > • Công ty Cổ phần Bè tông Ly tâm Vinaincon,• Công ty Cổ phần Bè tông Ly tâm Vinaincon,Hải Dương,"10,00%",4.000.000.000,(3.385.622.290),(*),,0.1,4000000000.0,-3385622290.0,
• Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,▪ Đơn vị khác > • Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,• Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,Hà Nội,"0,00115%",821.770.000,-,2.254.085.600,,1.15e-05,821770000.0,,2254085600.0
,,,,,4.821.770.000,(3.385.622.290),,,,4821770000.0,-3385622290.0,
,,,,,5.319.594.263.229,(3.385.622.290),,,,5319594263229.0,-3385622290.0,
