row_label_raw,row_label_full,col_0,Khu văn phòng tại Chung cưNàng Hương VND,Khu văn phòng tại Chung cưMỹ Đình Plaza VND,Khu văn phòng tại Chung cưPCC1 Hà Đông Complex VND,Khu văn phòng tại Chung cưMỹ Đình Plaza 2 VND,Tổng cộng VND,numeric__Khu văn phòng tại Chung cưNàng Hương VND,numeric__Khu văn phòng tại Chung cưMỹ Đình Plaza VND,numeric__Khu văn phòng tại Chung cưPCC1 Hà Đông Complex VND,numeric__Khu văn phòng tại Chung cưMỹ Đình Plaza 2 VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.076.525.175,90.477.826.874,24.269.520.970(3.449.659.332),85.886.865.376(85.886.865.376),211.710.738.395(89.336.524.708),11076525175.0,90477826874.0,,,
Nhượng bán,Nhượng bán,Nhượng bán,-,-,24.269.520.970(3.449.659.332),85.886.865.376(85.886.865.376),211.710.738.395(89.336.524.708),,,,,
Số dư cuối năm,Nhượng bán > Số dư cuối năm,Số dư cuối năm,11.076.525.175,90.477.826.874,20.819.861.638,-,122.374.213.687,11076525175.0,90477826874.0,20819861638.0,,122374213687.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.899.271.736,35.064.149.865,6.316.724.613,865.927.846,47.146.074.060,4899271736.0,35064149865.0,6316724613.0,865927846.0,47146074060.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,398.779.182,4.372.488.545,966.244.305(996.526.239),2.943.215.938(3.809.143.784),8.680.727.970(4.805.670.023),398779182.0,4372488545.0,,,
Nhượng bán,Nhượng bán,Nhượng bán,-,-,966.244.305(996.526.239),2.943.215.938(3.809.143.784),8.680.727.970(4.805.670.023),,,,,
Số dư cuối năm,Nhượng bán > Số dư cuối năm,Số dư cuối năm,5.298.050.918,39.436.638.410,6.286.442.679,-,51.021.132.007,5298050918.0,39436638410.0,6286442679.0,,51021132007.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,6.177.253.439,55.413.677.009,17.952.796.357,85.020.937.530,164.564.664.335,6177253439.0,55413677009.0,17952796357.0,85020937530.0,164564664335.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,5.778.474.257,51.041.188.464,14.533.418.959,-,71.353.081.680,5778474257.0,51041188464.0,14533418959.0,,71353081680.0
