row_label_raw,row_label_full,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > 31/12/2023VND,Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > 1/1/2023VND,numeric__Mẫu B 09 – DN(Ban hành theo Thông tư số 200/2014/TT-BTCngày 22/12/2014 của Bộ Tài chính) > 1/1/2023VND
115.608.041.597,115.608.041.597,115.608.041.597,138.893.055.823,138893055823.0
283.545.093.202,283.545.093.202,283.545.093.202,436.326.026.864,436326026864.0
114.459.443.366,114.459.443.366,114.459.443.366,147.823.804.361,147823804361.0
436.540.705.500,436.540.705.500,436.540.705.500,1.128.879.617.792,1128879617792.0
227.759.337.190,227.759.337.190,227.759.337.190,562.870.172.288,562870172288.0
80.641.120.535,80.641.120.535,80.641.120.535,240.898.438.134,240898438134.0
4.853.534.209,4.853.534.209,4.853.534.209,110.921.222.605,110921222605.0
114.007.847.000,114.007.847.000,114.007.847.000,-,
53.591.299.638,53.591.299.638,53.591.299.638,-,
1.431.006.422.237,53.591.299.638 > 1.431.006.422.237,1.431.006.422.237,2.766.612.337.867,2766612337867.0
31/12/2023VND,31/12/2023VND,31/12/2023VND,1/1/2023VND,
2.063.793.603.649,31/12/2023VND > 2.063.793.603.649,2.063.793.603.649,1.909.052.759.089,1909052759089.0
1.183.899.763.518(230.048.000.000),1.183.899.763.518(230.048.000.000),1.183.899.763.518(230.048.000.000),1.179.165.749.777(95.448.000.000),
3.017.645.367.167,1.183.899.763.518(230.048.000.000) > 3.017.645.367.167,3.017.645.367.167,2.992.770.508.866,2992770508866.0
