row_label_raw,row_label_full,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Thực phẩm (*) VND,Đồ uống (*) VND,Khác VND,Hợp nhất VND,numeric__Thực phẩm (*) VND,numeric__Đồ uống (*) VND,numeric__Khác VND,numeric__Hợp nhất VND
Tổng doanh thu của bộ phận – thuần,Tổng doanh thu của bộ phận – thuần,Tổng doanh thu của bộ phận – thuần,11.874.983.235.887,5.124.368.362.689,7.124.014.381,17.006.475.612.957,11874983235887.0,5124368362689.0,7124014381.0,17006475612957.0
Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,5.430.802.162.227,2.184.125.405.213,3.465.781.886,7.618.393.349.326,5430802162227.0,2184125405213.0,3465781886.0,7618393349326.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,3.135.188.405.696,912.573.078.728,3.465.781.886,4.051.227.266.310,3135188405696.0,912573078728.0,3465781886.0,4051227266310.0
Chi phí quản lý doanh nghiệp không phân bổ Doanh thu hoạt động tài chính,Chi phí quản lý doanh nghiệp không phân bổ Doanh thu hoạt động tài chính,Chi phí quản lý doanh nghiệp không phân bổ Doanh thu hoạt động tài chính,,,,(505.618.865.583),,,,-505618865583.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,550.227.206.305 (182.528.190.256),,,,
Lợi nhuận thuần từ hoạt động kinh doanh,Chi phí tài chính > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,3.913.307.416.776,,,,3913307416776.0
Thu nhập khác,Chi phí tài chính > Thu nhập khác,Thu nhập khác,,,,622.448.279,,,,622448279.0
Chi phí khác,Chi phí tài chính > Chi phí khác,Chi phí khác,,,,(19.524.646.870),,,,-19524646870.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí tài chính > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,(496.925.800.563),,,,-496925800563.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí tài chính > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,3.397.479.417.622,,,,3397479417622.0
