row_label_raw,row_label_full,Cho năm kết thúc ngày 31 tháng 12 năm 2019,Thực phẩm (*) VND,Đồ uống (*) VND,Khác VND,Hợp nhất VND,numeric__Thực phẩm (*) VND,numeric__Đồ uống (*) VND,numeric__Khác VND,numeric__Hợp nhất VND
Tổng doanh thu của bộ phận – thuần,Tổng doanh thu của bộ phận – thuần,Tổng doanh thu của bộ phận – thuần,12.880.154.993.002,5.596.076.690.655,11.310.152.851,18.487.541.836.508,12880154993002.0,5596076690655.0,11310152851.0,18487541836508.0
Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,Lợi nhuận gộp của bộ phận,5.436.802.789.396,2.516.572.339.086,4.298.394.081,7.957.673.522.563,5436802789396.0,2516572339086.0,4298394081.0,7957673522563.0
Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,Kết quả kinh doanh của bộ phận,3.421.156.809.143,1.233.740.545.776,4.298.394.081,4.659.195.749.000,3421156809143.0,1233740545776.0,4298394081.0,4659195749000.0
Chi phí quản lý doanh nghiệp không phân bổ Doanh thu hoạt động tài chính,Chi phí quản lý doanh nghiệp không phân bổ Doanh thu hoạt động tài chính,Chi phí quản lý doanh nghiệp không phân bổ Doanh thu hoạt động tài chính,,,,(526.117.109.979),,,,-526117109979.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,,,,619.847.831.113 (240.140.907.448),,,,
Lợi nhuận thuần từ hoạt động kinh doanh,Chi phí tài chính > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,4.512.785.562.686,,,,4512785562686.0
Thu nhập khác,Chi phí tài chính > Thu nhập khác,Thu nhập khác,,,,1.623.151.249,,,,1623151249.0
Chi phí khác,Chi phí tài chính > Chi phí khác,Chi phí khác,,,,(22.629.400.853),,,,-22629400853.0
Chi phí thuế thu nhập doanh nghiệp,Chi phí tài chính > Chi phí thuế thu nhập doanh nghiệp,Chi phí thuế thu nhập doanh nghiệp,,,,(430.101.217.071),,,,-430101217071.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Chi phí tài chính > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,4.061.678.096.011,,,,4061678096011.0
