row_label_raw,row_label_full,Môi quan hệ,Bản chất giao dịch,Giá trị giao dịch > 2019VND,Giá trị giao dịch > 2018VND,Phải thu/(phải trả) tại ngày > 31/12/2019VND,Phải thu/(phải trả) tại ngày > 1/1/2019VND,numeric__Bản chất giao dịch,numeric__Giá trị giao dịch > 2019VND,numeric__Giá trị giao dịch > 2018VND,numeric__Phải thu/(phải trả) tại ngày > 31/12/2019VND,numeric__Phải thu/(phải trả) tại ngày > 1/1/2019VND
Công ty mẹ của công ty mẹ,Công ty mẹ của công ty mẹ,Công ty mẹ của công ty mẹ,Công ty mẹ của công ty mẹ,Công ty mẹ của công ty mẹ,Công ty mẹ của công ty mẹ,Công ty mẹ của công ty mẹ,Công ty mẹ của công ty mẹ,,,,,
Công ty Cổ phần Tập đoàn Masan,Công ty mẹ của công ty mẹ > Công ty Cổ phần Tập đoàn Masan,Công ty Cổ phần Tập đoàn Masan,Bán hàng hóa,162.257.134,33.207.236,-,-,,162257134.0,33207236.0,,
Công ty Cổ phần Tập đoàn Masan,Công ty mẹ của công ty mẹ > Công ty Cổ phần Tập đoàn Masan,Công ty Cổ phần Tập đoàn Masan,Phí hỗ trợ quản lý,3.383.713.619,4.996.948.188,3.647.590.054,5.496.643.007,,3383713619.0,4996948188.0,3647590054.0,5496643007.0
Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,,,,,
Công ty TNHH,Công ty mẹ > Công ty TNHH,Công ty TNHH,Cho vay,2.132.000.000.000,4.337.000.000.000,9.460.716.876.592,7.433.716.876.592,,2132000000000.0,4337000000000.0,9460716876592.0,7433716876592.0
MasanConsumerHoldings,Công ty mẹ > MasanConsumerHoldings,MasanConsumerHoldings,Thu hồi khoản cho vay,105.000.000.000,2.800.000.000.000,-,-,,105000000000.0,2800000000000.0,,
MasanConsumerHoldings,Công ty mẹ > MasanConsumerHoldings,MasanConsumerHoldings,Thu nhập lãi từ các khoản cho vay,521.997.309.307,409.296.925.742,1.266.333.002.618,744.335.693.311,,521997309307.0,409296925742.0,1266333002618.0,744335693311.0
MasanConsumerHoldings,Công ty mẹ > MasanConsumerHoldings,MasanConsumerHoldings,Cổ tức đã phân phối,2.611.289.133.000,2.270.686.203.000,-,-,,2611289133000.0,2270686203000.0,,
MasanConsumerHoldings,Công ty mẹ > MasanConsumerHoldings,MasanConsumerHoldings,Trả cổ tức bằng tiền,2.611.289.133.000,2.270.686.203.000,-,-,,2611289133000.0,2270686203000.0,,
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,
Công ty Cổ phần Thực phẩm Cholimex,Công ty liên kết > Công ty Cổ phần Thực phẩm Cholimex,Công ty Cổ phần Thực phẩm Cholimex,Cổ tức nhận sau ngày mua,7.977.651.000,5.318.434.000,-,-,,7977651000.0,5318434000.0,,
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,,,
Công ty TNHH Masan Brewery,Các bên liên quan khác > Công ty TNHH Masan Brewery,Công ty TNHH Masan Brewery,Bán dịch vụ,1.000.000.000,-,1.000.000.000,-,,1000000000.0,,1000000000.0,
Công ty TNHH Masan Master Brewer,Các bên liên quan khác > Công ty TNHH Masan Master Brewer,Công ty TNHH Masan Master Brewer,Bán hàng hóa,1.261.868,-,-,-,,1261868.0,,,
