row_label_raw,row_label_full,col_0,Nhà cửa VND,Nâng cấp tài sản thuê VND,Thiết bị văn phòng VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Tổng VND,numeric__Nhà cửa VND,numeric__Nâng cấp tài sản thuê VND,numeric__Thiết bị văn phòng VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.489.020.112.948,62.791.110.984,67.770.850.119,3.883.660.819.875,16.305.922.809,5.519.548.816.735,1489020112948.0,62791110984.0,67770850119.0,3883660819875.0,16305922809.0,5519548816735.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,880.172.727,5.447.741.047,234.500.000,6.562.413.774,,,880172727.0,5447741047.0,234500000.0,6562413774.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,142.990.721.039,-,14.022.880.180,546.791.626.841,1.113.505.818,704.918.733.878,142990721039.0,,14022880180.0,546791626841.0,1113505818.0,704918733878.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(8.634.371.405),-,(331.620.000),(57.186.457.727),(1.178.404.739),(67.330.853.871),-8634371405.0,,-331620000.0,-57186457727.0,-1178404739.0,-67330853871.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(633.800.182),(3.181.386.443),(38.139.997),(4.714.650.728),-,(8.567.977.350),-633800182.0,-3181386443.0,-38139997.0,-4714650728.0,,-8567977350.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.622.742.662.400,59.609.724.541,82.304.143.029,4.373.999.079.308,16.475.523.888,6.155.131.133.166,1622742662400.0,59609724541.0,82304143029.0,4373999079308.0,16475523888.0,6155131133166.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,380.976.732.815,40.387.664.673,43.297.075.176,1.957.572.653.742,9.914.548.406,2.432.148.674.812,380976732815.0,40387664673.0,43297075176.0,1957572653742.0,9914548406.0,2432148674812.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,76.990.362.668,10.451.709.067,7.861.747.193,378.120.318.502,1.987.954.334,475.412.091.764,76990362668.0,10451709067.0,7861747193.0,378120318502.0,1987954334.0,475412091764.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(4.161.568.953),-,(295.535.765),(45.122.218.405),(1.159.902.376),(50.739.225.499),-4161568953.0,,-295535765.0,-45122218405.0,-1159902376.0,-50739225499.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(601.794.344),(3.181.386.443),(38.139.997),(4.710.322.816),-,(8.531.643.600),-601794344.0,-3181386443.0,-38139997.0,-4710322816.0,,-8531643600.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,453.203.732.186,47.657.987.297,50.825.146.607,2.285.860.431.023,10.742.600.364,2.848.289.897.477,453203732186.0,47657987297.0,50825146607.0,2285860431023.0,10742600364.0,2848289897477.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.108.043.380.133,22.403.446.311,24.473.774.943,1.926.088.166.133,6.391.374.403,3.087.400.141.923,1108043380133.0,22403446311.0,24473774943.0,1926088166133.0,6391374403.0,3087400141923.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.169.538.930.214,11.951.737.244,31.478.996.422,2.088.138.648.285,5.732.923.524,3.306.841.235.689,1169538930214.0,11951737244.0,31478996422.0,2088138648285.0,5732923524.0,3306841235689.0
