row_label_raw,row_label_full,Mối quan hệ,Bản chất giao dịch,Giá trị giao dịch > 2019VND,Giá trị giao dịch > 2018VND,Phải thu/(phải trả) tại ngày > 31/12/2019VND,Phải thu/(phải trả) tại ngày > 1/1/2019VND,numeric__Bản chất giao dịch,numeric__Giá trị giao dịch > 2019VND,numeric__Giá trị giao dịch > 2018VND,numeric__Phải thu/(phải trả) tại ngày > 31/12/2019VND,numeric__Phải thu/(phải trả) tại ngày > 1/1/2019VND
Công ty TNHH MNS Feed Vĩnh Long,Công ty TNHH MNS Feed Vĩnh Long,Công ty TNHH MNS Feed Vĩnh Long,Phí hỗ trợ quản lý,1.121.192.828,1.510.709.543,590.657.722,637.208.299,,1121192828.0,1510709543.0,590657722.0,637208299.0
Công ty TNHH MNS Feed Hậu Giang,Công ty TNHH MNS Feed Hậu Giang,Công ty TNHH MNS Feed Hậu Giang,Phí hỗ trợ quản lý,884.076.132,1.074.951.181,465.644.364,507.005.940,,884076132.0,1074951181.0,465644364.0,507005940.0
Công ty TNHH MNS Feed Nghệ An,Công ty TNHH MNS Feed Nghệ An,Công ty TNHH MNS Feed Nghệ An,Bán hàng hóa,40.491.636,41.116.909,-,-,,40491636.0,41116909.0,,
Công ty TNHH MNS Feed Nghệ An,Công ty TNHH MNS Feed Nghệ An,Công ty TNHH MNS Feed Nghệ An,Phí hỗ trợ quản lý,1.386.854.782,1.606.391.239,730.275.716,804.869.783,,1386854782.0,1606391239.0,730275716.0,804869783.0
Công ty TNHH MNS Farm Nghệ An,Công ty TNHH MNS Farm Nghệ An,Công ty TNHH MNS Farm Nghệ An,Bán hàng hóa,-,14.472.982,-,-,,,14472982.0,,
Công ty TNHH MNS Farm Nghệ An,Công ty TNHH MNS Farm Nghệ An,Công ty TNHH MNS Farm Nghệ An,Phí hỗ trợ quản lý,4.576.729.011,3.096.357.943,2.678.874.657,986.100.091,,4576729011.0,3096357943.0,2678874657.0,986100091.0
Công ty Cổ phần Việt – Pháp Sản xuất Thức ăn Gia súc,Công ty Cổ phần Việt – Pháp Sản xuất Thức ăn Gia súc,Công ty Cổ phần Việt – Pháp Sản xuất Thức ăn Gia súc,Bán hàng hóa,77.160.181,71.593.600,-,-,,77160181.0,71593600.0,,
Công ty Cổ phần Việt – Pháp Sản xuất Thức ăn Gia súc,Công ty Cổ phần Việt – Pháp Sản xuất Thức ăn Gia súc,Công ty Cổ phần Việt – Pháp Sản xuất Thức ăn Gia súc,Phí hỗ trợ quản lý,5.709.464.606,10.571.231.250,3.005.475.157,5.131.224.940,,5709464606.0,10571231250.0,3005475157.0,5131224940.0
Công ty TNHH Một Thành viên Proconco Cần Thơ,Công ty TNHH Một Thành viên Proconco Cần Thơ,Công ty TNHH Một Thành viên Proconco Cần Thơ,Phí hỗ trợ quản lý,2.411.943.046,2.483.411.874,1.269.531.065,1.411.327.932,,2411943046.0,2483411874.0,1269531065.0,1411327932.0
Công ty TNHH Một Thành viên Con cò Bình Định,Công ty TNHH Một Thành viên Con cò Bình Định,Công ty TNHH Một Thành viên Con cò Bình Định,Phí hỗ trợ quản lý,1.284.195.718,1.671.915.669,676.273.315,736.957.268,,1284195718.0,1671915669.0,676273315.0,736957268.0
Công ty TNHH Sản xuất và Thương mại Proconco Hưng Yên,Công ty TNHH Sản xuất và Thương mại Proconco Hưng Yên,Công ty TNHH Sản xuất và Thương mại Proconco Hưng Yên,Bán hàng hóa,8.100.000,5.238.000,5.610.000,-,,8100000.0,5238000.0,5610000.0,
Công ty TNHH Sản xuất và Thương mại Proconco Hưng Yên,Công ty TNHH Sản xuất và Thương mại Proconco Hưng Yên,Công ty TNHH Sản xuất và Thương mại Proconco Hưng Yên,Phí hỗ trợ quản lý,124.649.821,761.002.325,66.007.008,34.718.341,,124649821.0,761002325.0,66007008.0,34718341.0
Công ty Cổ phần Masan MEATLife (trước đây là Công ty Cổ phần Masan Nutri-Science),Công ty Cổ phần Masan MEATLife (trước đây là Công ty Cổ phần Masan Nutri-Science),Công ty Cổ phần Masan MEATLife (trước đây là Công ty Cổ phần Masan Nutri-Science),Bán hàng hóa,6.555.636,-,-,-,,6555636.0,,,
Công ty Cổ phần Masan MEATLife (trước đây là Công ty Cổ phần Masan Nutri-Science),Công ty Cổ phần Masan MEATLife (trước đây là Công ty Cổ phần Masan Nutri-Science),Công ty Cổ phần Masan MEATLife (trước đây là Công ty Cổ phần Masan Nutri-Science),Phí hỗ trợ quản lý,9.406.249.966,6.247.128.302,5.009.393.771,6.871.841.133,,9406249966.0,6247128302.0,5009393771.0,6871841133.0
