row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,Quyền khai tháctài nguyênnước khoángVND,Nhân hiệuVND,Quan hệkhách hàngVND,Tài nguyênnước khoángVND,TổngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__Quyền khai tháctài nguyênnước khoángVND,numeric__Nhân hiệuVND,numeric__Quan hệkhách hàngVND,numeric__Tài nguyênnước khoángVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,119.085.818.402,291.679.837.825,74.275.043.548,758.354.816.571,404.114.911.701,412.697.763.511,2.060.208.191.558,119085818402.0,291679837825.0,74275043548.0,758354816571.0,404114911701.0,412697763511.0,2060208191558.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,-,614.445.000,-,-,-,614.445.000,,,614445000.0,,,,614445000.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,1.192.630.138,-,-,-,-,1.192.630.138,,1192630138.0,,,,,1192630138.0
Xóa sổ,Nguyên giá > Xóa sổ,Xóa sổ,-,(186.472.000),-,-,-,-,(186.472.000),,-186472000.0,,,,,-186472000.0
Khác,Nguyên giá > Khác,Khác,-,-,(2.765.431.200),-,-,-,(2.765.431.200),,,-2765431200.0,,,,-2765431200.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,119.085.818.402,292.685.995.963,72.124.057.348,758.354.816.571,404.114.911.701,412.697.763.511,2.059.063.363.496,119085818402.0,292685995963.0,72124057348.0,758354816571.0,404114911701.0,412697763511.0,2059063363496.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,33.593.413.253,132.428.255.902,17.816.120.482,452.121.610.933,361.062.785.581,73.397.787.108,1.070.419.973.259,33593413253.0,132428255902.0,17816120482.0,452121610933.0,361062785581.0,73397787108.0,1070419973259.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.730.881.408,35.292.607.029,3.445.185.084,66.892.868.504,8.138.841.240,21.934.668.276,139.435.051.541,3730881408.0,35292607029.0,3445185084.0,66892868504.0,8138841240.0,21934668276.0,139435051541.0
Xóa sổ,Giá trị hao mòn lũy kế > Xóa sổ,Xóa sổ,-,(183.364.136),-,-,-,-,(183.364.136),,-183364136.0,,,,,-183364136.0
Khác,Giá trị hao mòn lũy kế > Khác,Khác,-,-,(576.131.500),-,-,-,(576.131.500),,,-576131500.0,,,,-576131500.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,37.324.294.661,167.537.498.795,20.685.174.066,519.014.479.437,369.201.626.821,95.332.455.384,1.209.095.529.164,37324294661.0,167537498795.0,20685174066.0,519014479437.0,369201626821.0,95332455384.0,1209095529164.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,85.492.405.149,159.251.581.923,56.458.923.066,306.233.205.638,43.052.126.120,339.299.976.403,989.788.218.299,85492405149.0,159251581923.0,56458923066.0,306233205638.0,43052126120.0,339299976403.0,989788218299.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,81.761.523.741,125.148.497.168,51.438.883.282,239.340.337.134,34.913.284.880,317.365.308.127,849.967.834.332,81761523741.0,125148497168.0,51438883282.0,239340337134.0,34913284880.0,317365308127.0,849967834332.0
