row_label_raw,row_label_full,Tại ngày 1 tháng 1 năm 2019,Thực phẩm VND,Đồ uống VND,Hợp nhất VND,numeric__Thực phẩm VND,numeric__Đồ uống VND,numeric__Hợp nhất VND
Tải sản bộ phận,Tải sản bộ phận,Tải sản bộ phận,3.835.715.748.143,2.403.268.880.343,6.238.984.628.486,3835715748143.0,2403268880343.0,6238984628486.0
Tải sản không phân bổ,Tải sản không phân bổ,Tải sản không phân bổ,,,10.813.820.575.233,,,10813820575233.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,,,17.052.805.203.719,,,17052805203719.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,1.202.580.551.720,703.376.472.523,1.905.957.024.243,1202580551720.0,703376472523.0,1905957024243.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,4.265.635.707.673,,,4265635707673.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,,,6.171.592.731.916,,,6171592731916.0
Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,Cho năm kết thúc ngày 31 tháng 12 năm 2018,,,
Chi tiêu vốn,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Chi tiêu vốn,Chi tiêu vốn,379.827.146.442,46.476.952.249,426.304.098.691,379827146442.0,46476952249.0,426304098691.0
Chi tiêu vốn không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Chi tiêu vốn không phân bổ,Chi tiêu vốn không phân bổ,,,5.428.564.163,,,5428564163.0
Khấu hao tài sản cố định hữu hình,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Khấu hao tài sản cố định hữu hình,Khấu hao tài sản cố định hữu hình,335.737.249.506,128.262.138.944,463.999.388.450,335737249506.0,128262138944.0,463999388450.0
Khấu hao tài sản cố định hữu hình không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Khấu hao tài sản cố định hữu hình không phân bổ,Khấu hao tài sản cố định hữu hình không phân bổ,,,13.337.032.631,,,13337032631.0
"Khấu hao tài sản cố định vô hình, phân bổ lợi thế thương mại và chi phí trả trước dài hạn","Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Khấu hao tài sản cố định vô hình, phân bổ lợi thế thương mại và chi phí trả trước dài hạn","Khấu hao tài sản cố định vô hình, phân bổ lợi thế thương mại và chi phí trả trước dài hạn",37.337.963.800,172.885.985.858,210.223.949.658,37337963800.0,172885985858.0,210223949658.0
Khấu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,Cho năm kết thúc ngày 31 tháng 12 năm 2018 > Khấu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,Khấu hao tài sản cố định vô hình và phân bổ chi phí trả trước dài hạn không phân bổ,,,40.655.926.690,,,40655926690.0
