row_label_raw,row_label_full,Mối quan hệ,Bản chất giao dịch,Giá trị giao dịch > 2019 VND,Giá trị giao dịch > 2018 VND,Phải thu/(phải trả) tại ngày > 31/12/2019 VND,Phải thu/(phải trả) tại ngày > 1/1/2019 VND,numeric__Bản chất giao dịch,numeric__Giá trị giao dịch > 2019 VND,numeric__Giá trị giao dịch > 2018 VND,numeric__Phải thu/(phải trả) tại ngày > 31/12/2019 VND,numeric__Phải thu/(phải trả) tại ngày > 1/1/2019 VND
Công ty TNHH Một Thành viên Masan Brewery PY,Công ty TNHH Một Thành viên Masan Brewery PY,Công ty TNHH Một Thành viên Masan Brewery PY,Bán hàng hóa,44.454.161,33.680.677,-,-,,44454161.0,33680677.0,,
Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,Bán hàng hóa,3.192.744,2.299.953.474,-,2.527.369.828,,3192744.0,2299953474.0,,2527369828.0
Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,Hàng bán bị trả lại,1.194.673.977,-,-,-,,1194673977.0,,,
Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,Trả trước tiền hàng,146.127.485,-,146.127.485,-,,146127485.0,,146127485.0,
Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,Mua hàng hóa,1.164.332.377,46.151.538.108,-,(20.804.520.370),,1164332377.0,46151538108.0,,-20804520370.0
Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,Công ty TNHH Một Thành viên Masan Brewery Distribution,Phí hỗ trợ quản lý,43.899.198.611,25.966.703.930,76.560.997.745,60.624.394.654,,43899198611.0,25966703930.0,76560997745.0,60624394654.0
Công ty TNHH Một Thành viên Masan Brewery HG,Công ty TNHH Một Thành viên Masan Brewery HG,Công ty TNHH Một Thành viên Masan Brewery HG,Bán hàng hóa,96.562.265,23.114.838,-,-,,96562265.0,23114838.0,,
Công ty TNHH Một Thành viên Masan Brewery HG,Công ty TNHH Một Thành viên Masan Brewery HG,Công ty TNHH Một Thành viên Masan Brewery HG,Trả hàng hóa đã mua,56.122.834,-,-,-,,56122834.0,,,
Công ty TNHH Một Thành viên Masan Brewery HG,Công ty TNHH Một Thành viên Masan Brewery HG,Công ty TNHH Một Thành viên Masan Brewery HG,Mua hàng hóa,41.850.264,55.827.750,-,-,,41850264.0,55827750.0,,
Công ty TNHH Một Thành viên Masan Brewery HG,Công ty TNHH Một Thành viên Masan Brewery HG,Công ty TNHH Một Thành viên Masan Brewery HG,Phí hỗ trợ quản lý,3.422.504.715,2.552.138.546,3.901.450.010,2.745.941.875,,3422504715.0,2552138546.0,3901450010.0,2745941875.0
Công ty TNHH Một Thành viên Masan Brewery MB,Công ty TNHH Một Thành viên Masan Brewery MB,Công ty TNHH Một Thành viên Masan Brewery MB,Bán tài sản cố định,-,19.240.043.103,-,21.164.047.413,,,19240043103.0,,21164047413.0
Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Bán hàng hóa,32.324.909,52.760.545,6.587.800,-,,32324909.0,52760545.0,6587800.0,
Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Công ty Cổ phần Dinh dưỡng Nông nghiệp Quốc tế,Phí hỗ trợ quản lý,3.516.609.673,5.401.497.275,1.851.733.472,2.821.114.056,,3516609673.0,5401497275.0,1851733472.0,2821114056.0
Công ty TNHH MNS Feed Tiền Giang,Công ty TNHH MNS Feed Tiền Giang,Công ty TNHH MNS Feed Tiền Giang,Phí hỗ trợ quản lý,1.072.868.060,1.413.647.105,565.193.852,617.822.920,,1072868060.0,1413647105.0,565193852.0,617822920.0
Công ty TNHH MNS Feed Thái Nguyên,Công ty TNHH MNS Feed Thái Nguyên,Công ty TNHH MNS Feed Thái Nguyên,Bán hàng hóa,32.096.545,29.696.909,-,-,,32096545.0,29696909.0,,
Công ty TNHH MNS Feed Thái Nguyên,Công ty TNHH MNS Feed Thái Nguyên,Công ty TNHH MNS Feed Thái Nguyên,Phí hỗ trợ quản lý,879.568.987,1.317.783.118,463.338.369,498.242.808,,879568987.0,1317783118.0,463338369.0,498242808.0
