row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,30.9.2025VND,30.9.2024VND,,
Doanh thu về bán hàng và cung cấp dịch vụ,Doanh thu về bán hàng và cung cấp dịch vụ,Doanh thu về bán hàng và cung cấp dịch vụ,Doanh thu về bán hàng và cung cấp dịch vụ,Doanh thu về bán hàng và cung cấp dịch vụ,,
Doanh thu bán hàng hóa,Doanh thu về bán hàng và cung cấp dịch vụ > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,39.807.273.525.952,49.885.357.777.105,39807273525952.0,49885357777105.0
Doanh thu bán thành phẩm,Doanh thu về bán hàng và cung cấp dịch vụ > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,16.333.936.671.121,17.156.159.722.432,16333936671121.0,17156159722432.0
Doanh thu cung cấp dịch vụ,Doanh thu về bán hàng và cung cấp dịch vụ > Doanh thu cung cấp dịch vụ,Doanh thu cung cấp dịch vụ,10.653.797.546,8.628.416.616,10653797546.0,8628416616.0
Doanh thu khác,Doanh thu về bán hàng và cung cấp dịch vụ > Doanh thu khác,Doanh thu khác,9.302.416,1.224.929.818,9302416.0,1224929818.0
,,,56.151.873.297.035,67.051.370.845.971,56151873297035.0,67051370845971.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,,
Chiết khấu thương mại,Các khoản giảm trừ > Chiết khấu thương mại,Chiết khấu thương mại,(384.311.924.593),(305.868.861.202),-384311924593.0,-305868861202.0
Hàng bán bị trả lại,Các khoản giảm trừ > Hàng bán bị trả lại,Hàng bán bị trả lại,(30.656.662.228),(22.670.719.345),-30656662228.0,-22670719345.0
Giảm giá hàng bán,Các khoản giảm trừ > Giảm giá hàng bán,Giảm giá hàng bán,(20.481.844.666),(10.283.466.673),-20481844666.0,-10283466673.0
,,,(435.450.431.487),(338.823.047.220),-435450431487.0,-338823047220.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ,,
Doanh thu thuần về bán hàng hóa,Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần về bán hàng hóa,Doanh thu thuần về bán hàng hóa,39.652.960.228.344,49.823.396.756.535,39652960228344.0,49823396756535.0
Doanh thu thuần về bán thành phẩm,Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần về bán thành phẩm,Doanh thu thuần về bán thành phẩm,16.052.799.537.242,16.879.297.695.782,16052799537242.0,16879297695782.0
Doanh thu thuần về cung cấp dịch vụ,Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần về cung cấp dịch vụ,Doanh thu thuần về cung cấp dịch vụ,10.653.797.546,8.628.416.616,10653797546.0,8628416616.0
Doanh thu thuần khác,Doanh thu thuần về bán hàng và cung cấp dịch vụ > Doanh thu thuần khác,Doanh thu thuần khác,9.302.416,1.224.929.818,9302416.0,1224929818.0
,,,55.716.422.865.548,66.712.547.798.751,55716422865548.0,66712547798751.0
