row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tai ngày 1 tháng 10 năm 2024,Nguyên giá > Tai ngày 1 tháng 10 năm 2024,Tai ngày 1 tháng 10 năm 2024,869.339.008.020,2.521.028.592.038,340.700.501.235,89.735.166.898,30.657.107.293,3.851.460.375.484,869339008020.0,2521028592038.0,340700501235.0,89735166898.0,30657107293.0,3851460375484.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,43.950.795.285,42.532.633.832,24.338.681.691,1.345.866.000,4.158.530.421,116.326.507.229,43950795285.0,42532633832.0,24338681691.0,1345866000.0,4158530421.0,116326507229.0
Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 12),Nguyên giá > Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 12),Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 12),25.003.519.283,102.262.272.249,21.111.649.450,-,275.000.000,148.652.440.982,25003519283.0,102262272249.0,21111649450.0,,275000000.0,148652440982.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(1.769.015.276),(234.513.380.165),(20.156.727.873),(14.867.474),-,(256.453.990.788),-1769015276.0,-234513380165.0,-20156727873.0,-14867474.0,,-256453990788.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(1.057.254.379),(92.049.696),-,-,-,(1.149.304.075),-1057254379.0,-92049696.0,,,,-1149304075.0
Tai ngày 30 tháng 9 năm 2025,Nguyên giá > Tai ngày 30 tháng 9 năm 2025,Tai ngày 30 tháng 9 năm 2025,935.467.052.933,2.431.218.068.258,365.994.104.503,91.066.165.424,35.090.637.714,3.858.836.028.832,935467052933.0,2431218068258.0,365994104503.0,91066165424.0,35090637714.0,3858836028832.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tai ngày 1 tháng 10 năm 2024,Giá trị khấu hao lũy kế > Tai ngày 1 tháng 10 năm 2024,Tai ngày 1 tháng 10 năm 2024,469.170.681.407,2.331.706.995.117,284.083.752.904,74.606.879.637,25.182.934.116,3.184.751.243.181,469170681407.0,2331706995117.0,284083752904.0,74606879637.0,25182934116.0,3184751243181.0
Khẩu hao trong năm,Giá trị khấu hao lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,79.187.332.317,72.857.146.603,15.563.888.798,4.994.557.594,1.985.880.995,174.588.806.307,79187332317.0,72857146603.0,15563888798.0,4994557594.0,1985880995.0,174588806307.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,(759.855.125),(234.513.380.165),(17.412.674.959),(14.867.474),-,(252.700.777.723),-759855125.0,-234513380165.0,-17412674959.0,-14867474.0,,-252700777723.0
Xóa số,Giá trị khấu hao lũy kế > Xóa số,Xóa số,(656.772.978),(92.049.696),-,-,-,(748.822.674),-656772978.0,-92049696.0,,,,-748822674.0
Tai ngày 30 tháng 9 năm 2025,Giá trị khấu hao lũy kế > Tai ngày 30 tháng 9 năm 2025,Tai ngày 30 tháng 9 năm 2025,546.941.385.621,2.169.958.711.859,282.234.966.743,79.586.569.757,27.168.815.111,3.105.890.449.091,546941385621.0,2169958711859.0,282234966743.0,79586569757.0,27168815111.0,3105890449091.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tai ngày 1 tháng 10 năm 2024,Giá trị còn lại > Tai ngày 1 tháng 10 năm 2024,Tai ngày 1 tháng 10 năm 2024,400.168.326.613,189.321.596.921,56.616.748.331,15.128.287.261,5.474.173.177,666.709.132.303,400168326613.0,189321596921.0,56616748331.0,15128287261.0,5474173177.0,666709132303.0
Tai ngày 30 tháng 9 năm 2025,Giá trị còn lại > Tai ngày 30 tháng 9 năm 2025,Tai ngày 30 tháng 9 năm 2025,388.525.667.312,261.259.356.399,83.759.137.760,11.479.595.667,7.921.822.603,752.945.579.741,388525667312.0,261259356399.0,83759137760.0,11479595667.0,7921822603.0,752945579741.0
