row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,30.9.2025VND,30.9.2024VND,,
(i) Doanh thu thuần bán hàng và cung cấp dịch vụ,(i) Doanh thu thuần bán hàng và cung cấp dịch vụ,(i) Doanh thu thuần bán hàng và cung cấp dịch vụ,(i) Doanh thu thuần bán hàng và cung cấp dịch vụ,(i) Doanh thu thuần bán hàng và cung cấp dịch vụ,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty TNHH Một thành viên Tôn Hoa Sen,Công ty con > Công ty TNHH Một thành viên Tôn Hoa Sen,Công ty TNHH Một thành viên Tôn Hoa Sen,9.824.514.380.168,13.105.231.171.955,9824514380168.0,13105231171955.0
Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nghệ An,Công ty con > Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nghệ An,Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nghệ An,9.156.011.089.002,12.094.197.159.860,9156011089002.0,12094197159860.0
Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nhơn Hội - Bình Đình,Công ty con > Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nhơn Hội - Bình Đình,Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nhơn Hội - Bình Đình,3.993.400.186.069,4.947.074.319.509,3993400186069.0,4947074319509.0
Công ty TNHH Một thành viên Hoa Sen Phú Mỹ,Công ty con > Công ty TNHH Một thành viên Hoa Sen Phú Mỹ,Công ty TNHH Một thành viên Hoa Sen Phú Mỹ,2.830.215.648.137,2.936.918.714.484,2830215648137.0,2936918714484.0
Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Hà Nam,Công ty con > Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Hà Nam,Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Hà Nam,3.879.241.661,1.876.927.030,3879241661.0,1876927030.0
Công ty Cổ phần Nhựa Hoa Sen,Công ty con > Công ty Cổ phần Nhựa Hoa Sen,Công ty Cổ phần Nhựa Hoa Sen,2.383.475.137,2.154.777.912,2383475137.0,2154777912.0
Công ty Trách nhiệm hữu hạn Một thành viên Vật liệu Xây dựng Hoa Sen Yên Bái,Công ty con > Công ty Trách nhiệm hữu hạn Một thành viên Vật liệu Xây dựng Hoa Sen Yên Bái,Công ty Trách nhiệm hữu hạn Một thành viên Vật liệu Xây dựng Hoa Sen Yên Bái,811.366.778,46.367.917,811366778.0,46367917.0
Công ty TNHH Một thành viên Hoa Sen Bình Đình,Công ty con > Công ty TNHH Một thành viên Hoa Sen Bình Đình,Công ty TNHH Một thành viên Hoa Sen Bình Đình,435.792.014,3.747.446.141,435792014.0,3747446141.0
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Bên liên quan khác > Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,3.160.907.197.192,2.364.920.717.469,3160907197192.0,2364920717469.0
Công ty TNHH Dash,Bên liên quan khác > Công ty TNHH Dash,Công ty TNHH Dash,86.208.736,-,86208736.0,
,,,28.972.644.584.894,35.456.167.602.277,28972644584894.0,35456167602277.0
