row_label_raw,row_label_full,Mã số,col_1,Thuyết minh,Năm tài chính kết thúc ngày > 30.9.2025 VND,Năm tài chính kết thúc ngày > 30.9.2024 VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm tài chính kết thúc ngày > 30.9.2025 VND,numeric__Năm tài chính kết thúc ngày > 30.9.2024 VND
01,01,01,Doanh thu bán hàng và cung cấp dịch vụ,,56.151.873.297.035,67.051.370.845.971,,,56151873297035.0,67051370845971.0
02,02,02,Các khoản giảm trừ doanh thu,,(435.450.431.487),(338.823.047.220),,,-435450431487.0,-338823047220.0
10,10,10,Doanh thu thuần về bán hàng và cung cấp dịch vụ,24,55.716.422.865.548,66.712.547.798.751,,24.0,55716422865548.0,66712547798751.0
11,11,11,Giá vốn hàng bán và dịch vụ cung cấp,25,(52.849.608.651.606),(63.473.799.048.283),,25.0,-52849608651606.0,-63473799048283.0
20,20,20,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,2.866.814.213.942,3.238.748.750.468,,,2866814213942.0,3238748750468.0
21,21,21,Doanh thu hoạt động tài chính,26,1.236.104.660.111,652.938.094.707,,26.0,1236104660111.0,652938094707.0
22,22,22,Chi phí tài chính,27,(261.191.675.193),(251.550.025.718),,27.0,-261191675193.0,-251550025718.0
23,23,23,- Trong đó: Chi phí lãi vay,27,(176.174.297.625),(131.805.003.372),,27.0,-176174297625.0,-131805003372.0
25,25,25,Chi phí bán hàng,28,(2.534.796.640.480),(2.858.708.812.560),,28.0,-2534796640480.0,-2858708812560.0
26,26,26,Chi phí quản lý doanh nghiệp,29,(422.253.803.611),(308.367.699.972),,29.0,-422253803611.0,-308367699972.0
30,30,30,Lợi nhuận thuần từ hoạt động kinh doanh,,884.676.754.769,473.060.306.925,,,884676754769.0,473060306925.0
31,31,31,Thu nhập khác,,46.818.153.654,34.684.261.898,,,46818153654.0,34684261898.0
32,32,32,Chi phí khác,,(3.559.515.528),(5.192.249.642),,,-3559515528.0,-5192249642.0
40,40,40,Lợi nhuận khác,30,43.258.638.126,29.492.012.256,,30.0,43258638126.0,29492012256.0
50,50,50,Tổng lợi nhuận kế toán trước thuế,,927.935.392.895,502.552.319.181,,,927935392895.0,502552319181.0
51,51,51,"Chi phí thuế thu nhập doanh nghiệp (""TNDN"") hiện hành",31,(22.083.397.401),(99.693.200),,31.0,-22083397401.0,-99693200.0
52,52,52,Thu nhập thuế TNDN hoãn lại,"20, 31",7.979.070.078,26.469.681.181,,,7979070078.0,26469681181.0
60,60,60,Lợi nhuận sau thuế TNDN,,913.831.069.672,528.922.307.162,,,913831069672.0,528922307162.0
