row_label_raw,row_label_full,col_0,Tại ngày 30.9.2025,Tại ngày 30.9.2025_1,Tại ngày 30.9.2024,Tại ngày 30.9.2024_1,numeric__Tại ngày 30.9.2025,numeric__Tại ngày 30.9.2025_1,numeric__Tại ngày 30.9.2024,numeric__Tại ngày 30.9.2024_1
,,,Giá gốc VND,Dự phòng VND,Giá gốc VND,Dự phòng VND,,,,
Hàng mua đang di trên đường,Hàng mua đang di trên đường,Hàng mua đang di trên đường,491.018.601.108,(9.804.341.636),877.318.113.429,(17.655.353.966),491018601108.0,-9804341636.0,877318113429.0,-17655353966.0
Nguyên vật liệu,Nguyên vật liệu,Nguyên vật liệu,499.322.263.649,(6.321.625.901),464.380.608.238,(12.158.845.106),499322263649.0,-6321625901.0,464380608238.0,-12158845106.0
"Công cu, dung cu","Công cu, dung cu","Công cu, dung cu",139.717.852.232,-,139.644.530.778,-,139717852232.0,,139644530778.0,
Thành phẩm,Thành phẩm,Thành phẩm,1.361.473.502.224,(32.697.785.803),1.411.484.367.781,(68.215.161.495),1361473502224.0,-32697785803.0,1411484367781.0,-68215161495.0
Hàng hóa,Hàng hóa,Hàng hóa,1.505.084.500.496,(27.008.481.205),1.172.166.639.950,(23.819.456.827),1505084500496.0,-27008481205.0,1172166639950.0,-23819456827.0
,,,3.996.616.719.709,(75.832.234.545),4.064.994.260.176,(121.848.817.394),3996616719709.0,-75832234545.0,4064994260176.0,-121848817394.0
