row_label_raw,row_label_full,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,2.675.182.372,3.836.728.618,numeric__2.675.182.372,numeric__3.836.728.618
Công ty TNHH Dash,Công ty TNHH Dash,Công ty TNHH Dash,1.074.835.710,-,1074835710.0,
Công ty TNHH Một thành viên Đầu tư Hoa Sen Nghệ An,Công ty TNHH Một thành viên Đầu tư Hoa Sen Nghệ An,Công ty TNHH Một thành viên Đầu tư Hoa Sen Nghệ An,113.832.000,48.168.000,113832000.0,48168000.0
,,,456.927.017.864,915.552.512.371,456927017864.0,915552512371.0
