row_label_raw,row_label_full,Tại ngày 30.9.2025 > Giá gốc VND,Tại ngày 30.9.2025 > Giá trị hợp lý VND,Tại ngày 30.9.2025 > Dự phòng VND,Tại ngày 30.9.2024 > Giá gốc VND,Tại ngày 30.9.2024 > Giá trị hợp lý VND,Tại ngày 30.9.2024 > Dự phòng VND,numeric__Tại ngày 30.9.2025 > Giá trị hợp lý VND,numeric__Tại ngày 30.9.2025 > Dự phòng VND,numeric__Tại ngày 30.9.2024 > Giá gốc VND,numeric__Tại ngày 30.9.2024 > Giá trị hợp lý VND,numeric__Tại ngày 30.9.2024 > Dự phòng VND
1.100.000.000.000,1.100.000.000.000,1.100.000.000.000,(*),-,1.100.000.000.000,(*),-,,,1100000000000.0,,
770.000.000.000,770.000.000.000,770.000.000.000,(*),-,770.000.000.000,(*),-,,,770000000000.0,,
700.000.000.000,700.000.000.000,700.000.000.000,(*),-,380.000.000.000,(*),-,,,380000000000.0,,
505.000.000.000,505.000.000.000,505.000.000.000,(*),-,409.745.087.671,(*),-,,,409745087671.0,,
299.850.000.000,299.850.000.000,299.850.000.000,(*),-,299.850.000.000,(*),-,,,299850000000.0,,
280.000.000.000,280.000.000.000,280.000.000.000,(*),-,280.000.000.000,(*),-,,,280000000000.0,,
200.000.000.000,200.000.000.000,200.000.000.000,(*),-,200.000.000.000,(*),-,,,200000000000.0,,
105.000.000.000,105.000.000.000,105.000.000.000,(*),-,105.000.000.000,(*),-,,,105000000000.0,,
50.000.000.000,50.000.000.000,50.000.000.000,(*),-,50.000.000.000,(*),-,,,50000000000.0,,
-,-,-,(*),-,-,(*),-,,,,,
-,-,-,(*),-,-,(*),-,,,,,
4.009.850.000.000,- > 4.009.850.000.000,4.009.850.000.000,,-,3.594.595.087.671,,-,,,3594595087671.0,,
