row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,Tại ngày > 30.9.2025VND,Tại ngày > 30.9.2024VND,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__Tại ngày > 30.9.2025VND,numeric__Tại ngày > 30.9.2024VND
300,300,300,NỘ PHẢI TRẢ,,7.228.523.128.673,8.878.813.931.686,,,7228523128673.0,8878813931686.0
310,310,310,Nợ ngắn hạn,,7.214.672.950.257,8.864.853.420.561,,,7214672950257.0,8864853420561.0
311,311,311,Phải trả người bán ngắn hạn,13,2.094.261.424.739,2.853.606.214.481,,13.0,2094261424739.0,2853606214481.0
312,312,312,Người mua trả tiền trước ngắn hạn,14,207.055.544.710,179.999.887.975,,14.0,207055544710.0,179999887975.0
313,313,313,Thuế và các khoản phải nộp Nhà nước,15(c),105.177.573.470,74.417.109.924,,,105177573470.0,74417109924.0
314,314,314,Phải trả người lao động,,66.338.867.695,64.468.071.697,,,66338867695.0,64468071697.0
315,315,315,Chi phí phải trả ngắn hạn,16,297.431.231.452,208.807.717.032,,16.0,297431231452.0,208807717032.0
319,319,319,Phải trả ngắn hạn khác,17,149.315.847.668,137.451.191.503,,17.0,149315847668.0,137451191503.0
320,320,320,Vay và nợ thuê tài chính ngắn hạn,18,4.273.038.041.770,5.310.715.159.144,,18.0,4273038041770.0,5310715159144.0
322,322,322,"Quỹ khen thưởng, phúc lợi",19,22.054.418.753,35.388.068.805,,19.0,22054418753.0,35388068805.0
330,330,330,Nợ dài hạn,,13.850.178.416,13.960.511.125,,,13850178416.0,13960511125.0
337,337,337,Phải trả dài hạn khác,,709.500.000,709.500.000,,,709500000.0,709500000.0
342,342,342,Dư phòng phải trả dài hạn,,13.140.678.416,13.251.011.125,,,13140678416.0,13251011125.0
400,400,400,VỐN CHỦ SỞ HỮU,,12.033.605.999.714,11.432.969.984.383,,,12033605999714.0,11432969984383.0
410,410,410,Vốn chủ sở hữu,,12.033.605.999.714,11.432.969.984.383,,,12033605999714.0,11432969984383.0
411,411,411,Vốn góp của chủ sở hữu,"21, 22",6.209.823.090.000,6.159.823.090.000,,,6209823090000.0,6159823090000.0
411a,411a,411a,- Cổ phiếu phổ thông có quyền biểu quyết,,6.209.823.090.000,6.159.823.090.000,,,6209823090000.0,6159823090000.0
412,412,412,Thắng dư vốn cổ phần,22,157.292.539.068,157.292.539.068,,22.0,157292539068.0,157292539068.0
420,420,420,Quỹ khác thuộc vốn chủ sở hữu,22,42.474.414.880,50.993.213.769,,22.0,42474414880.0,50993213769.0
421,421,421,"Lợi nhuận sau thuế (""LNST"")chưa phân phối",22,5.624.015.955.766,5.064.861.141.546,,22.0,5624015955766.0,5064861141546.0
421a,421a,421a,- LNST chưa phân phối lũy kécủa các năm trước,,4.710.184.890.194,4.576.082.907.573,,,4710184890194.0,4576082907573.0
421b,421b,421b,- LNST chưa phân phối của năm nay,,913.831.065.572,488.778.233.973,,,913831065572.0,488778233973.0
440,440,440,TỔNG NGUỒN VỐN,,19.262.129.128.387,20.311.783.916.069,,,19262129128387.0,20311783916069.0
