row_label_raw,row_label_full,col_0,col_1,30.9.2025VND,30.9.2024VND,numeric__col_1,numeric__30.9.2025VND,numeric__30.9.2024VND
(iii),(iii),(iii),Phải thu về cho vay ngắn hạn (Thuyết minh 7),,,,,
(iii),(iii),(iii),Công ty con,,,,,
(iii),(iii) > (iii),(iii),Công ty Cổ phần Nhưa Hoa Sen,426.500.000.000,374.000.000.000,,426500000000.0,374000000000.0
(iv),(iv),(iv),Phải thu ngắn hạn khác (Thuyết minh 8(a)),,,,,
(iv),(iv),(iv),Phải thu về cổ tức và lợi nhuận được chia,,,,,
(iv),(iv),(iv),Công ty con,,,,,
(iv),(iv) > (iv),(iv),Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nghệ An,483.125.431.774,233.211.069.581,,483125431774.0,233211069581.0
(iv),(iv) > (iv),(iv),Công ty Cổ phần Nhưa Hoa Sen,328.369.305.825,-,,328369305825.0,
(iv),(iv) > (iv),(iv),Công ty TNHH Một thành viên Tớn Hoa Sen,76.369.081.747,65.230.722.689,,76369081747.0,65230722689.0
(iv),(iv) > (iv),(iv),Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Hà Nam,55.657.214.900,-,,55657214900.0,
(iv),(iv) > (iv),(iv),,943.521.034.246,298.441.792.270,,943521034246.0,298441792270.0
(iv),(iv),(iv),Phải thu lãi vay và lãi trả chậm,,,,,
(iv),(iv),(iv),Công ty con,,,,,
(iv),(iv) > (iv),(iv),Công ty Cổ phần Nhưa Hoa Sen,4.083.375.342,4.188.473.984,,4083375342.0,4188473984.0
(iv),(iv),(iv),Đặt cọc thuê mặt bằng,,,,,
(iv),(iv),(iv),Bên liên quan khác,,,,,
(iv),(iv) > (iv),(iv),Công ty TNHH Tập đoàn Đầu tư Hoa Sen,1.284.700.000,770.000.000,,1284700000.0,770000000.0
(iv),(iv) > (iv),(iv),,948.889.109.588,303.400.266.254,,948889109588.0,303400266254.0
(v),(v),(v),Phải thu dài hạn khác (Thuyết minh 8(b)),,,,,
(v),(v),(v),Đặt cọc thuê mặt bằng,,,,,
(v),(v),(v),Bên liên quan khác,,,,,
(v),(v) > (v),(v),Công ty TNHH Tập đoàn Đầu tư Hoa Sen,2.270.500.000,3.555.200.000,,2270500000.0,3555200000.0
(v),(v),(v),Tạm ứng để mua đất,,,,,
(v),(v),(v),Thành viên Ban Tổng Giám đốc,,,,,
(v),(v) > (v),(v),Ông Hoàng Đức Huy,-,45.462.225.000,,,45462225000.0
(v),(v) > (v),(v),,2.270.500.000,49.017.425.000,,2270500000.0,49017425000.0
