row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,30.9.2025VND,30.9.2024VND,,
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,187.644.244.391,140.423.962.462,187644244391.0,140423962462.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,51.623.712.920,39.716.220.954,51623712920.0,39716220954.0
Chi phí dịch vụ chuyên nghiệp,Chi phí dịch vụ chuyên nghiệp,Chi phí dịch vụ chuyên nghiệp,29.675.436.445,5.129.505.600,29675436445.0,5129505600.0
Chi phí công tác,Chi phí công tác,Chi phí công tác,19.999.170.601,11.596.418.354,19999170601.0,11596418354.0
Chi phí tiếp khách,Chi phí tiếp khách,Chi phí tiếp khách,17.994.650.158,10.892.997.524,17994650158.0,10892997524.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,15.465.145.886,16.994.995.197,15465145886.0,16994995197.0
Chi phí thuê văn phòng và thiết bị,Chi phí thuê văn phòng và thiết bị,Chi phí thuê văn phòng và thiết bị,13.053.738.745,23.467.211.958,13053738745.0,23467211958.0
Khác,Khác,Khác,86.797.704.465,60.146.387.923,86797704465.0,60146387923.0
,,,422.253.803.611,308.367.699.972,422253803611.0,308367699972.0
