row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,30.9.2025VND,30.9.2024VND,,
(ii) Mua hàng hóa và dịch vụ,(ii) Mua hàng hóa và dịch vụ,(ii) Mua hàng hóa và dịch vụ,(ii) Mua hàng hóa và dịch vụ,(ii) Mua hàng hóa và dịch vụ,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty TNHH Mốt thành viên Tôn Hoa Sen,Công ty con > Công ty TNHH Mốt thành viên Tôn Hoa Sen,Công ty TNHH Mốt thành viên Tôn Hoa Sen,11.306.708.350.425,12.405.238.116.358,11306708350425.0,12405238116358.0
Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nghề An,Công ty con > Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nghề An,Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nghề An,7.852.142.667.511,10.562.180.703.366,7852142667511.0,10562180703366.0
Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nhơn Hôi - Bình Định,Công ty con > Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nhơn Hôi - Bình Định,Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nhơn Hôi - Bình Định,3.107.733.570.416,3.853.646.450.028,3107733570416.0,3853646450028.0
Công ty TNHH Mốt thành viên Hoa Sen Phú Mỹ,Công ty con > Công ty TNHH Mốt thành viên Hoa Sen Phú Mỹ,Công ty TNHH Mốt thành viên Hoa Sen Phú Mỹ,1.655.234.862.879,1.768.285.426.641,1655234862879.0,1768285426641.0
Công ty TNHH Mốt thành viên Hoa Sen Bình Định,Công ty con > Công ty TNHH Mốt thành viên Hoa Sen Bình Định,Công ty TNHH Mốt thành viên Hoa Sen Bình Định,1.419.003.596.366,1.189.359.711.034,1419003596366.0,1189359711034.0
Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Hà Nam,Công ty con > Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Hà Nam,Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Hà Nam,502.672.194.516,434.369.161.177,502672194516.0,434369161177.0
Công ty Trách nhiệm hữu hạn Một thành viên Vật liệu Xây dựng Hoa Sen Yên Bái,Công ty con > Công ty Trách nhiệm hữu hạn Một thành viên Vật liệu Xây dựng Hoa Sen Yên Bái,Công ty Trách nhiệm hữu hạn Một thành viên Vật liệu Xây dựng Hoa Sen Yên Bái,282.089.472.354,165.353.720.817,282089472354.0,165353720817.0
Công ty Cổ phần Nhưa Hoa Sen,Công ty con > Công ty Cổ phần Nhưa Hoa Sen,Công ty Cổ phần Nhưa Hoa Sen,4.447.878.498,11.508.188.113,4447878498.0,11508188113.0
Công ty Cổ phần Hoa Sen Yên Bái,Công ty con > Công ty Cổ phần Hoa Sen Yên Bái,Công ty Cổ phần Hoa Sen Yên Bái,-,2.909.244.624,,2909244624.0
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Công ty TNHH Tập đoán Đầu tư Hoa Sen,Bên liên quan khác > Công ty TNHH Tập đoán Đầu tư Hoa Sen,Công ty TNHH Tập đoán Đầu tư Hoa Sen,34.146.881.437,240.727.530.221,34146881437.0,240727530221.0
Công ty TNHH Dash,Bên liên quan khác > Công ty TNHH Dash,Công ty TNHH Dash,2.636.239.350,-,2636239350.0,
Công ty TNHH Mốt thành viên Đầu tư Hoa Sen Nghệ An,Bên liên quan khác > Công ty TNHH Mốt thành viên Đầu tư Hoa Sen Nghệ An,Công ty TNHH Mốt thành viên Đầu tư Hoa Sen Nghệ An,551.200.000,302.125.888,551200000.0,302125888.0
,,,26.167.366.913.752,30.633.880.378.267,26167366913752.0,30633880378267.0
