row_label_raw,row_label_full,col_0,col_1,Tại ngày 30.9.2025 > Giá trị VND,Tại ngày 30.9.2025 > Số có khả năng trả nợ VND,Tại ngày 30.9.2024 > Giá trị VND,Tại ngày 30.9.2024 > Số có khả năng trả nợ VND,numeric__col_1,numeric__Tại ngày 30.9.2025 > Giá trị VND,numeric__Tại ngày 30.9.2025 > Số có khả năng trả nợ VND,numeric__Tại ngày 30.9.2024 > Giá trị VND,numeric__Tại ngày 30.9.2024 > Số có khả năng trả nợ VND
13,13,13,PHẢI TRẢ NGƯỜI BÁN NGÁN HẠN,,,,,,,,,
,,,Bên thứ ba,,,,,,,,,
,,,Công ty Cổ phần Thép Hòa Phát Dung Quất,610.665.542.168,610.665.542.168,382.563.821.530,382.563.821.530,,610665542168.0,610665542168.0,382563821530.0,382563821530.0
,,,Hangzhou Cogeneration (Hong Kong) Company Limited,369.869.992.737,369.869.992.737,-,-,,369869992737.0,369869992737.0,,
,,,Khác,656.798.871.970,656.798.871.970,1.555.489.880.580,1.555.489.880.580,,656798871970.0,656798871970.0,1555489880580.0,1555489880580.0
,,,Bên liên quan (Thuyết minh 35(b)),456.927.017.864,456.927.017.864,915.552.512.371,915.552.512.371,,456927017864.0,456927017864.0,915552512371.0,915552512371.0
,,,,2.094.261.424.739,2.094.261.424.739,2.853.606.214.481,2.853.606.214.481,,2094261424739.0,2094261424739.0,2853606214481.0,2853606214481.0
14,14,14,NGƯỜI MUA TRẢ TIỀN TRƯỚC NGÂN HẠN,,,,,,,,,
,,,,,,30.9.2025 VND,30.9.2024 VND,,,,,
,,,Bên thứ ba,,,,,,,,,
,,,Martin Muñiz Molina,,,48.598.767.368,2.297.127.400,,,,48598767368.0,2297127400.0
,,,Khác,,,128.125.643.288,169.701.116.171,,,,128125643288.0,169701116171.0
,,,Bên liên quan (Thuyết minh 35(b)),,,30.331.134.054,8.001.644.404,,,,30331134054.0,8001644404.0
,,,,,,207.055.544.710,179.999.887.975,,,,207055544710.0,179999887975.0
