row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,30.9.2025VND,30.9.2024VND,,
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,927.935.392.895,502.552.319.181,927935392895.0,502552319181.0
Thuế tính ở thuế suất 20%,Thuế tính ở thuế suất 20%,Thuế tính ở thuế suất 20%,185.587.078.579,100.510.463.836,185587078579.0,100510463836.0
Điều chỉnh:,Điều chỉnh:,Điều chỉnh:,,,,
Thu nhập không chịu thuế,Điều chỉnh: > Thu nhập không chịu thuế,Thu nhập không chịu thuế,(188.704.206.849),(59.688.358.454),-188704206849.0,-59688358454.0
Chi phí không được khấu trừ,Điều chỉnh: > Chi phí không được khấu trừ,Chi phí không được khấu trừ,25.013.626.580,23.555.799.945,25013626580.0,23555799945.0
Lỗ tỉnh thuế đã được sử dụng,Điều chỉnh: > Lỗ tỉnh thuế đã được sử dụng,Lỗ tỉnh thuế đã được sử dụng,(8.798.004.521),(87.204.141.457),-8798004521.0,-87204141457.0
Chênh lệch tạm thời mà không ghi nhận thuế TNDN hoãn lại,Điều chỉnh: > Chênh lệch tạm thời mà không ghi nhận thuế TNDN hoãn lại,Chênh lệch tạm thời mà không ghi nhận thuế TNDN hoãn lại,-,(3.643.445.051),,-3643445051.0
Dự phòng thiếu của kỳ trước,Điều chỉnh: > Dự phòng thiếu của kỳ trước,Dự phòng thiếu của kỳ trước,1.005.833.534,99.693.200,1005833534.0,99693200.0
Chi phí/(thu nhập) thuế TNDN (*),Điều chỉnh: > Chi phí/(thu nhập) thuế TNDN (*),Chi phí/(thu nhập) thuế TNDN (*),14.104.327.323,(26.369.987.981),14104327323.0,-26369987981.0
Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh riêng giữa niên độ:,Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh riêng giữa niên độ:,Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh riêng giữa niên độ:,,,,
Thuế TNDN - hiện hành,Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh riêng giữa niên độ: > Thuế TNDN - hiện hành,Thuế TNDN - hiện hành,22.083.397.401,99.693.200,22083397401.0,99693200.0
Thuế TNDN - hoãn lại (Thuyết minh 20),Chi phí/(thu nhập) thuế TNDN ghi nhận trong báo cáo kết quả hoạt động kinh doanh riêng giữa niên độ: > Thuế TNDN - hoãn lại (Thuyết minh 20),Thuế TNDN - hoãn lại (Thuyết minh 20),(7.979.070.078),(26.469.681.181),-7979070078.0,-26469681181.0
,,,14.104.327.323,(26.369.987.981),14104327323.0,-26369987981.0
