row_label_raw,row_label_full,Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nghề An,752.955.136,221.157.000,numeric__752.955.136,numeric__221.157.000
Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nhơn Hội - Bình Định,Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nhơn Hội - Bình Định,Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nhơn Hội - Bình Định,526.112.913,-,526112913.0,
Công ty TNHH Một thành viên Tớn Hoa Sen,Công ty TNHH Một thành viên Tớn Hoa Sen,Công ty TNHH Một thành viên Tớn Hoa Sen,268.900.000,-,268900000.0,
Công ty TNHH Một thành viên Hoa Sen Phú Mỹ,Công ty TNHH Một thành viên Hoa Sen Phú Mỹ,Công ty TNHH Một thành viên Hoa Sen Phú Mỹ,189.632.626,242.799.000,189632626.0,242799000.0
Công ty Cổ phần Nhưa Hoa Sen,Công ty Cổ phần Nhưa Hoa Sen,Công ty Cổ phần Nhưa Hoa Sen,99.545.454,156.762.825,99545454.0,156762825.0
Công ty Trách nhiệm hữu hạn Một thành viên Vật liệu Xây dựng Hoa Sen Yên Bái,Công ty Trách nhiệm hữu hạn Một thành viên Vật liệu Xây dựng Hoa Sen Yên Bái,Công ty Trách nhiệm hữu hạn Một thành viên Vật liệu Xây dựng Hoa Sen Yên Bái,60.000.000,-,60000000.0,
Công ty TNHH Một thành viên Hoa Sen Bình Định,Công ty TNHH Một thành viên Hoa Sen Bình Định,Công ty TNHH Một thành viên Hoa Sen Bình Định,-,909.091,,909091.0
