row_label_raw,row_label_full,col_0,col_1,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__col_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,,30.9.2025VND,30.9.2024VND,,,
(iv),(iv),(iv),"Mua TSCĐ, xây dựng cơ bản dở dang",,,,,
,,,Công ty con,,,,,
,,,Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nghệ An,84.476.000,306.628.000,,84476000.0,306628000.0
,,,Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nhơn Hội - Bình Định,-,1.577.729.904,,,1577729904.0
,,,Công ty TNHH Một thành viên Hoa Sen Phú Mỹ,-,1.964.064.650,,,1964064650.0
,,,Công ty TNHH Một thành viên Hoa Sen Bình Định,-,1.472.231.365,,,1472231365.0
,,,,84.476.000,5.320.653.919,,84476000.0,5320653919.0
(v),(v),(v),Hoạt động đầu tư,,,,,
,,,Cho vay ngắn hạn (Thuyết minh 7),,,,,
,,,Công ty con,,,,,
,,,Công ty Cổ phần Nhựa Hoa Sen,208.000.000.000,283.500.000.000,,208000000000.0,283500000000.0
,,,Cho vay dài hạn,,,,,
,,,Công ty con,,,,,
,,,Công ty Cổ phần Hoa Sen Yên Bái,-,4.200.000.000,,,4200000000.0
,,,Thu hồi cho vay ngắn hạn (Thuyết minh 7),,,,,
,,,Công ty con,,,,,
,,,Công ty Cổ phần Nhựa Hoa Sen,155.500.000.000,28.000.000.000,,155500000000.0,28000000000.0
,,,Dầu tư vào công ty con,,,,,
,,,Công ty con,,,,,
,,,Công ty TNHH Một thành viên Hoa Sen Phú Mỹ,320.000.000.000,-,,320000000000.0,
,,,Công ty Cổ phần Hoa Sen Yên Bái,95.254.912.329,5.745.087.671,,95254912329.0,5745087671.0
,,,,415.254.912.329,5.745.087.671,,415254912329.0,5745087671.0
