row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thắng dư vốn cổ phần VND,Quỹ khác thuộc vốn chủ sở hữu VND,LNST chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thắng dư vốn cổ phần VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__LNST chưa phân phối VND,numeric__Tổng cộng VND
Tai ngày 1 tháng 10 năm 2023,Tai ngày 1 tháng 10 năm 2023,Tai ngày 1 tháng 10 năm 2023,6.159.823.090.000,157.292.539.068,77.910.496.944,4.886.924.844.463,11.281.950.970.475,6159823090000.0,157292539068.0,77910496944.0,4886924844463.0,11281950970475.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,528.922.307.162,528.922.307.162,,,,528922307162.0,528922307162.0
Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,Chia cổ tức bằng tiền,-,-,-,(307.991.154.500),(307.991.154.500),,,,-307991154500.0,-307991154500.0
"Trích lập quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích lập quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích lập quỹ khen thưởng, phúc lợi (Thuyết minh 19)",-,-,-,(18.103.097.086),(18.103.097.086),,,,-18103097086.0,-18103097086.0
Trích lập quỹ khác,Trích lập quỹ khác,Trích lập quỹ khác,-,-,24.891.758.493,(24.891.758.493),-,,,24891758493.0,-24891758493.0,
Sử dụng quỹ khác,Sử dụng quỹ khác,Sử dụng quỹ khác,-,-,(51.809.041.668),-,(51.809.041.668),,,-51809041668.0,,-51809041668.0
Tai ngày 30 tháng 9 năm 2024,Tai ngày 30 tháng 9 năm 2024,Tai ngày 30 tháng 9 năm 2024,6.159.823.090.000,157.292.539.068,50.993.213.769,5.064.861.141.546,11.432.969.984.383,6159823090000.0,157292539068.0,50993213769.0,5064861141546.0,11432969984383.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,913.831.065.572,913.831.065.572,,,,913831065572.0,913831065572.0
Chia cổ tức bằng tiền (*),Chia cổ tức bằng tiền (*),Chia cổ tức bằng tiền (*),-,-,-,(310.491.154.500),(310.491.154.500),,,,-310491154500.0,-310491154500.0
Phát hành cổ phiếu theo chương trình lựa chơn cho người lao đông (ESOP) (**),Phát hành cổ phiếu theo chương trình lựa chơn cho người lao đông (ESOP) (**),Phát hành cổ phiếu theo chương trình lựa chơn cho người lao đông (ESOP) (**),50.000.000.000,-,-,-,50.000.000.000,50000000000.0,,,,50000000000.0
"Trích lập quỹ khen thưởng, phúc lợi (Thuyết minh 19) (*)","Trích lập quỹ khen thưởng, phúc lợi (Thuyết minh 19) (*)","Trích lập quỹ khen thưởng, phúc lợi (Thuyết minh 19) (*)",-,-,-,(18.604.251.306),(18.604.251.306),,,,-18604251306.0,-18604251306.0
Trích lập quỹ khác (*),Trích lập quỹ khác (*),Trích lập quỹ khác (*),-,-,25.580.845.546,(25.580.845.546),-,,,25580845546.0,-25580845546.0,
Sử dụng quỹ khác,Sử dụng quỹ khác,Sử dụng quỹ khác,-,-,(34.099.644.435),-,(34.099.644.435),,,-34099644435.0,,-34099644435.0
Tai ngày 30 tháng 9 năm 2025,Tai ngày 30 tháng 9 năm 2025,Tai ngày 30 tháng 9 năm 2025,6.209.823.090.000,157.292.539.068,42.474.414.860,5.624.015.955.766,12.033.605.999.714,6209823090000.0,157292539068.0,42474414860.0,5624015955766.0,12033605999714.0
