row_label_raw,row_label_full,Tên,Hoạt động chính,"Nơi thành lập,dăng ký hoạt động (*)",Tại ngày 30.9.2025,Tại ngày 30.9.2025_1,Tại ngày 30.9.2024,Tại ngày 30.9.2024_1,numeric__Hoạt động chính,"numeric__Nơi thành lập,dăng ký hoạt động (*)",numeric__Tại ngày 30.9.2025,numeric__Tại ngày 30.9.2025_1,numeric__Tại ngày 30.9.2024,numeric__Tại ngày 30.9.2024_1
Tên,Tên,Tên,Hoạt động chính,"Nơi thành lập,dăng ký hoạt động (*)",Tỷ lệsở hữu%,Tỷ lệ quyềnbiểu quyết%,Tỷ lệsở hữu%,Tỷ lệ quyềnbiểu quyết%,,,,,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,,
Công ty Trách nhiệm hữu hạn Một thành viênHoa Sen Nghệ An,Công ty con > Công ty Trách nhiệm hữu hạn Một thành viênHoa Sen Nghệ An,Công ty Trách nhiệm hữu hạn Một thành viênHoa Sen Nghệ An,Sản xuất và kinh doanh tấm lợp bằngkim loại và các sản phẩm ống thép.,Tỉnh Nghệ An,100,100,100,100,,,100.0,100.0,100.0,100.0
Công ty Trách nhiệm hữu hạn Một thành viênHoa Sen Nhom Hội - Bình Định,Công ty con > Công ty Trách nhiệm hữu hạn Một thành viênHoa Sen Nhom Hội - Bình Định,Công ty Trách nhiệm hữu hạn Một thành viênHoa Sen Nhom Hội - Bình Định,Sản xuất và kinh doanhcác sản phẩm tấm lợp kim loại.,Tỉnh Gia Lai,100,100,100,100,,,100.0,100.0,100.0,100.0
Công ty TNHH Một thành viên Tôn Hoa Sen,Công ty con > Công ty TNHH Một thành viên Tôn Hoa Sen,Công ty TNHH Một thành viên Tôn Hoa Sen,Sản xuất và kinh doanhcác sản phẩm thép cán nguội.,Thành phốHồ Chí Minh,100,100,100,100,,,100.0,100.0,100.0,100.0
Công ty TNHH Một thành viên Hoa Sen Phú Mỹ (i),Công ty con > Công ty TNHH Một thành viên Hoa Sen Phú Mỹ (i),Công ty TNHH Một thành viên Hoa Sen Phú Mỹ (i),Sản xuất và kinh doanh các sản phẩmống thép.,Thành phốHồ Chí Minh,100,100,100,100,,,100.0,100.0,100.0,100.0
Công ty Trách nhiệm hữu hạn Một thành viênHoa Sen Hà Nam,Công ty con > Công ty Trách nhiệm hữu hạn Một thành viênHoa Sen Hà Nam,Công ty Trách nhiệm hữu hạn Một thành viênHoa Sen Hà Nam,Sản xuất và kinh doanh các sản phẩmống thép.,Tỉnh Hà Nam,100,100,100,100,,,100.0,100.0,100.0,100.0
Công ty Cổ phần Nhưa Hoa Sen,Công ty con > Công ty Cổ phần Nhưa Hoa Sen,Công ty Cổ phần Nhưa Hoa Sen,Sản xuất và kinh doanh vật liệuxây dựng bằng nhưa.,Thành phốHồ Chí Minh,"99,95","99,95","99,95","99,95",,,99.95,99.95,99.95,99.95
Công ty TNHH Mốt thành viên Hoa Sen Bình Định,Công ty con > Công ty TNHH Mốt thành viên Hoa Sen Bình Định,Công ty TNHH Mốt thành viên Hoa Sen Bình Định,Sản xuất và kinh doanh các sản phẩmống thép.,Tỉnh Gia Lai,100,100,100,100,,,100.0,100.0,100.0,100.0
Công ty Cổ phần Hoa Sen Yên Bải (ii),Công ty con > Công ty Cổ phần Hoa Sen Yên Bải (ii),Công ty Cổ phần Hoa Sen Yên Bải (ii),"Kinh doanh khách sạn, dịch vụ ăn uốngvà khu trung tâm thương mại.",Tỉnh Lao Cai,"97,26","97,26","97,26","97,26",,,97.26,97.26,97.26,97.26
Công ty Trách nhiệm hữu hạn Một thành viênVật liệu Xây dựng Hoa Sen Yên Bải,Công ty con > Công ty Trách nhiệm hữu hạn Một thành viênVật liệu Xây dựng Hoa Sen Yên Bải,Công ty Trách nhiệm hữu hạn Một thành viênVật liệu Xây dựng Hoa Sen Yên Bải,Sản xuất và kinh doanhcác sản phẩm ống thép.,Tỉnh Lao Cai,100,100,100,100,,,100.0,100.0,100.0,100.0
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,,,,
Công ty Cổ phần Cảng Quốc tế Hoa Sen (iii),Công ty liên kết > Công ty Cổ phần Cảng Quốc tế Hoa Sen (iii),Công ty Cổ phần Cảng Quốc tế Hoa Sen (iii),Hoạt động dịch vụ hỗ trợ khácliên quan tới văn tải.,Thành phốHồ Chí Minh,49,49,49,49,,,49.0,49.0,49.0,49.0
Công ty Cổ phần Hoa Sen Sài Gòn,Công ty liên kết > Công ty Cổ phần Hoa Sen Sài Gòn,Công ty Cổ phần Hoa Sen Sài Gòn,Hoạt động kinh doanh bất động sản.,Thành phốHồ Chí Minh,40,40,40,40,,,40.0,40.0,40.0,40.0
