row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Tổng cộng VND
Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,Nguyên giả,,,
Tại ngày 1 tháng 10 năm 2024,Nguyên giả > Tại ngày 1 tháng 10 năm 2024,Tại ngày 1 tháng 10 năm 2024,200.348.707.708,70.157.607.002,270.506.314.710,200348707708.0,70157607002.0,270506314710.0
Mua trong năm,Nguyên giả > Mua trong năm,Mua trong năm,31.997.630.000,1.063.048.200,33.060.678.200,31997630000.0,1063048200.0,33060678200.0
Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 12),Nguyên giả > Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 12),Chuyển từ xây dựng cơ bản dở dang(Thuyết minh 12),-,292.089.600,292.089.600,,292089600.0,292089600.0
Tại ngày 30 tháng 9 năm 2025,Nguyên giả > Tại ngày 30 tháng 9 năm 2025,Tại ngày 30 tháng 9 năm 2025,232.346.337.708,71.512.744.802,303.859.082.510,232346337708.0,71512744802.0,303859082510.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Tại ngày 1 tháng 10 năm 2024,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 10 năm 2024,Tại ngày 1 tháng 10 năm 2024,39.081.568.569,53.731.524.280,92.813.092.849,39081568569.0,53731524280.0,92813092849.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,3.515.681.400,4.822.403.084,8.338.084.484,3515681400.0,4822403084.0,8338084484.0
Tại ngày 30 tháng 9 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 30 tháng 9 năm 2025,Tại ngày 30 tháng 9 năm 2025,42.597.249.969,58.553.927.364,101.151.177.333,42597249969.0,58553927364.0,101151177333.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 10 năm 2024,Giá trị còn lại > Tại ngày 1 tháng 10 năm 2024,Tại ngày 1 tháng 10 năm 2024,161.267.139.139,16.426.082.722,177.693.221.861,161267139139.0,16426082722.0,177693221861.0
Tại ngày 30 tháng 9 năm 2025,Giá trị còn lại > Tại ngày 30 tháng 9 năm 2025,Tại ngày 30 tháng 9 năm 2025,189.749.087.739,12.958.817.438,202.707.905.177,189749087739.0,12958817438.0,202707905177.0
