row_label_raw,row_label_full,Ngân hạn (Thuyết minh 6(a)),Ngân hạn (Thuyết minh 6(a))_1,Ngân hạn (Thuyết minh 6(a))_2,numeric__Ngân hạn (Thuyết minh 6(a))_1,numeric__Ngân hạn (Thuyết minh 6(a))_2
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nhơn Hội - Bình Đình,Công ty con > Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nhơn Hội - Bình Đình,Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Nhơn Hội - Bình Đình,433.235.527,-,433235527.0,
Công ty Cổ phần Nhựa Hoa Sen,Công ty con > Công ty Cổ phần Nhựa Hoa Sen,Công ty Cổ phần Nhựa Hoa Sen,8.540.493,-,8540493.0,
Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Hà Nam,Công ty con > Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Hà Nam,Công ty Trách nhiệm hữu hạn Một thành viên Hoa Sen Hà Nam,-,1.011.643.028,,1011643028.0
Công ty Cổ phần Hoa Sen Yên Bái,Công ty con > Công ty Cổ phần Hoa Sen Yên Bái,Công ty Cổ phần Hoa Sen Yên Bái,-,305.208.861,,305208861.0
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Bà Lê Thị Lệ Hoa (*),Bên liên quan khác > Bà Lê Thị Lệ Hoa (*),Bà Lê Thị Lệ Hoa (*),-,450.000.000.000,,450000000000.0
,,,441.776.020,451.316.851.889,441776020.0,451316851889.0
Dài hạn (Thuyết minh 6(b)),Dài hạn (Thuyết minh 6(b)),Dài hạn (Thuyết minh 6(b)),Dài hạn (Thuyết minh 6(b)),Dài hạn (Thuyết minh 6(b)),,
Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,Bên liên quan khác,,
Bà Lê Thị Lệ Hoa (*),Bên liên quan khác > Bà Lê Thị Lệ Hoa (*),Bà Lê Thị Lệ Hoa (*),1.250.000.000.000,-,1250000000000.0,
