row_label_raw,row_label_full,col_0,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
,,,30.9.2025VND,30.9.2024VND,,
Chi phí xuất khẩu,Chi phí xuất khẩu,Chi phí xuất khẩu,865.300.757.408,1.307.180.299.620,865300757408.0,1307180299620.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,854.771.525.616,755.370.213.131,854771525616.0,755370213131.0
Chi phí thuê cửa hàng,Chi phí thuê cửa hàng,Chi phí thuê cửa hàng,187.072.415.429,175.025.526.450,187072415429.0,175025526450.0
Chi phí khấu hao,Chi phí khấu hao,Chi phí khấu hao,149.253.436.831,161.404.676.332,149253436831.0,161404676332.0
Chi phí vận chuyển,Chi phí vận chuyển,Chi phí vận chuyển,139.340.593.102,122.582.402.073,139340593102.0,122582402073.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,78.062.897.026,68.640.499.559,78062897026.0,68640499559.0
Chi phí quảng cáo,Chi phí quảng cáo,Chi phí quảng cáo,55.480.621.670,50.389.347.411,55480621670.0,50389347411.0
Khác,Khác,Khác,205.514.393.398,218.115.847.984,205514393398.0,218115847984.0
,,,2.534.796.640.480,2.858.708.812.560,2534796640480.0,2858708812560.0
