row_label_raw,row_label_full,Mãsố,col_1,Thuyếtminh,Năm tài chính kết thúc ngày,Năm tài chính kết thúc ngày_1,numeric__col_1,numeric__Thuyếtminh,numeric__Năm tài chính kết thúc ngày,numeric__Năm tài chính kết thúc ngày_1
Mãsố,Mãsố,Mãsố,,Thuyếtminh,30.9.2025VND,30.9.2024VND,,,,
LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
01,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Lợi nhuận kể toàn trước thuếĐiều chỉnh cho các khoản:,,927.935.392.895,502.552.319.181,,,927935392895.0,502552319181.0
02,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,"Khẩu hao tài sản cố định (""TSCD"")","11, 27",182.926.890.791,213.396.307.446,,,182926890791.0,213396307446.0
03,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03,03,Các khoản hoàn nhập dự phòng,,(45.446.651.425),(5.435.448.472),,,-45446651425.0,-5435448472.0
04,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,Lỗ chênh lệch tỷ giả hối đoai do đánh giá lại các khoản mục tiên tẻ có gốc ngoại tệ,27,3.197.897.048,4.859.887.308,,27.0,3197897048.0,4859887308.0
05,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05,05,Lãi từ hoạt động đầu tư,,(983.332.706.608),(325.217.103.728),,,-983332706608.0,-325217103728.0
06,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,Chi phí lãi vay,27,176.174.297.625,131.805.003.372,,27.0,176174297625.0,131805003372.0
08,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08,08,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,,261.455.120.326,521.960.965.107,,,261455120326.0,521960965107.0
09,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 09,09,Giảm/(tăng) các khoản phải thu,,3.684.192.878.675,(1.800.373.698.676),,,3684192878675.0,-1800373698676.0
10,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 10,10,Giảm/(tăng) hàng tồn kho,,68.377.540.467,(188.494.190.075),,,68377540467.0,-188494190075.0
11,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 11,11,(Giảm)/tăng các khoản phải trả,,(328.543.355.091),274.588.619.440,,,-328543355091.0,274588619440.0
12,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 12,12,Giảm chỉ phí trả trước,,22.347.325.081,55.298.002.073,,,22347325081.0,55298002073.0
14,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 14,14,Tiền lãi vay đã trả,,(173.813.361.939),(131.111.426.969),,,-173813361939.0,-131111426969.0
17,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 17,17,Tiền chi khác từ hoạt động kinh doanh,,(66.037.545.793),(182.993.643.610),,,-66037545793.0,-182993643610.0
20,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,3.467.978.601.726,(1.451.125.372.710),,,3467978601726.0,-1451125372710.0
LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
21,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 21,21,Tiền chi để mua sắm TSCD và các tài sản dài hạn khác,,(1.777.222.902.123),(560.646.561.404),,,-1777222902123.0,-560646561404.0
22,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 22,22,Tiền thu từ thanh lý TSCD,,27.987.424.703,36.807.283.700,,,27987424703.0,36807283700.0
23,LUU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 23,23,"Tiền chi cho vay, mua các khoản đầu tư nàm giữ đến ngày đáo hạn",,(223.475.505.973),(288.417.778.768),,,-223475505973.0,-288417778768.0
