row_label_raw,row_label_full,col_0,Tại ngày 30.9.2025 > Giá trị VND,Tại ngày 30.9.2025 > Dự phòng VND,Tại ngày 30.9.2024 > Giá trị VND,Tại ngày 30.9.2024 > Dự phòng VND,numeric__Tại ngày 30.9.2025 > Giá trị VND,numeric__Tại ngày 30.9.2025 > Dự phòng VND,numeric__Tại ngày 30.9.2024 > Giá trị VND,numeric__Tại ngày 30.9.2024 > Dự phòng VND
Phải thu về lợi nhuận được chia,Phải thu về lợi nhuận được chia,Phải thu về lợi nhuận được chia,943.521.034.246,-,298.441.792.270,-,943521034246.0,,298441792270.0,
Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,Tạm ứng cho nhân viên,33.918.523.047,-,29.224.478.037,-,33918523047.0,,29224478037.0,
"Đặt cọc thuê mặt bằng và kỳ quỹ, kỳ cước ngân hạn","Đặt cọc thuê mặt bằng và kỳ quỹ, kỳ cước ngân hạn","Đặt cọc thuê mặt bằng và kỳ quỹ, kỳ cước ngân hạn",26.164.232.499,-,25.728.366.709,-,26164232499.0,,25728366709.0,
Phải thu lãi cho vay,Phải thu lãi cho vay,Phải thu lãi cho vay,4.083.375.342,-,2.131.109.589,-,4083375342.0,,2131109589.0,
Khác,Khác,Khác,12.068.489.905,-,11.308.051.430,-,12068489905.0,,11308051430.0,
,,,1.019.755.655.039,-,366.833.818.035,-,1019755655039.0,,366833818035.0,
Trong đó:,Trong đó:,Trong đó:,,,,,,,,
Bên thủ ba,Trong đó: > Bên thủ ba,Bên thủ ba,70.866.545.451,-,63.433.551.781,-,70866545451.0,,63433551781.0,
Bên liên quan(Thuyết minh 35(b)),Trong đó: > Bên liên quan(Thuyết minh 35(b)),Bên liên quan(Thuyết minh 35(b)),948.889.109.588,-,303.400.266.254,-,948889109588.0,,303400266254.0,
,,,1.019.755.655.039,-,366.833.818.035,-,1019755655039.0,,366833818035.0,
