row_label_raw,row_label_full,col_0,30.9.2025VND,30.9.2024VND,numeric__30.9.2025VND,numeric__30.9.2024VND
Chiết khấu bộ chứng từ xuất khẩu phải trả,Chiết khấu bộ chứng từ xuất khẩu phải trả,Chiết khấu bộ chứng từ xuất khẩu phải trả,133.119.362.319,101.285.719.447,133119362319.0,101285719447.0
"Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn","Nhận ký quỹ, ký cược ngắn hạn",6.269.602.408,6.205.262.108,6269602408.0,6205262108.0
Cổ tức phải trả,Cổ tức phải trả,Cổ tức phải trả,4.344.840.677,3.957.992.677,4344840677.0,3957992677.0
Tiền nhận từ việc phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,Tiền nhận từ việc phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,Tiền nhận từ việc phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,-,22.110.000.000,,22110000000.0
Khác,Khác,Khác,5.582.042.264,3.892.217.271,5582042264.0,3892217271.0
,,,149.315.847.668,137.451.191.503,149315847668.0,137451191503.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Bên thứ ba,Trong đó: > Bên thứ ba,Bên thứ ba,149.275.947.668,136.997.926.817,149275947668.0,136997926817.0
Bên liên quan (Thuyết minh 35(b)),Trong đó: > Bên liên quan (Thuyết minh 35(b)),Bên liên quan (Thuyết minh 35(b)),39.900.000,453.264.686,39900000.0,453264686.0
,,,149.315.847.668,137.451.191.503,149315847668.0,137451191503.0
