row_label_raw,row_label_full,col_0,Tại ngày 1.10.2024 > Giá trị VND,Tại ngày 1.10.2024 > Số có khả năng trả nợ VND,Phát sinh trong kỳ > Tăng VND,Phát sinh trong kỳ > Giám VND,Tại ngày 30.9.2025 > Giá trị VND,Tại ngày 30.9.2025 > Số có khả năng trả nợ VND,numeric__Tại ngày 1.10.2024 > Giá trị VND,numeric__Tại ngày 1.10.2024 > Số có khả năng trả nợ VND,numeric__Phát sinh trong kỳ > Tăng VND,numeric__Phát sinh trong kỳ > Giám VND,numeric__Tại ngày 30.9.2025 > Giá trị VND,numeric__Tại ngày 30.9.2025 > Số có khả năng trả nợ VND
Ngân hàng,Ngân hàng,Ngân hàng,5.310.715.159.144,5.310.715.159.144,27.687.476.327.112,(28.725.153.444.486),4.273.038.041.770,4.273.038.041.770,5310715159144.0,5310715159144.0,27687476327112.0,-28725153444486.0,4273038041770.0,4273038041770.0
Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,Các khoản vay ngân hàng bằng Đồng Việt Nam được huy động cho mục đích bổ sung vốn lưu động. Lãi suất của các khoản vay được xác định tại thời điểm giải ngân. Chi tiết như sau:,,,,,,
Ngân hàng,Ngân hàng,Ngân hàng,,,Lãi suất %/năm,Ký hạn,Tại ngày 30.9.2025 VND,Tại ngày 30.9.2024 VND,,,,,,
Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương (i),Ngân hàng > Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương (i),Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương (i),,,"3,9% - 4,2%",Tôi đa không quá 6 tháng kể từ ngày tiếp theo của ngày giải ngân vốn vay và được ghi trên từng Giấy nhận nợ,1.310.606.061.142,2.647.446.645.284,,,,,1310606061142.0,2647446645284.0
Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Đông Thành phố Hồ Chí Minh (ii) (trước đáy là Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Khu Công nghiệp Bình Dương),Ngân hàng > Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Đông Thành phố Hồ Chí Minh (ii) (trước đáy là Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Khu Công nghiệp Bình Dương),Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Đông Thành phố Hồ Chí Minh (ii) (trước đáy là Ngân hàng Thương mại Cổ phần Công Thương Việt Nam - Chi nhánh Khu Công nghiệp Bình Dương),,,"4% - 4,3%",Tôi đa không quá 5 tháng kể từ ngày giải ngân,1.226.408.673.522,2.271.483.187.659,,,,,1226408673522.0,2271483187659.0
Ngân hàng Thương mại Cổ phần Đầu Tư và Phát Triên Việt Nam - Chi Nhánh Sở Giao Dịch 2 (iii),Ngân hàng > Ngân hàng Thương mại Cổ phần Đầu Tư và Phát Triên Việt Nam - Chi Nhánh Sở Giao Dịch 2 (iii),Ngân hàng Thương mại Cổ phần Đầu Tư và Phát Triên Việt Nam - Chi Nhánh Sở Giao Dịch 2 (iii),,,4%,Theo từng hợp đồng tin dụng,790.963.003.699,323.755.954.476,,,0.04,,790963003699.0,323755954476.0
Ngân hàng TNHH Một thành viên United Overseas Bank (Việt Nam) (iv),Ngân hàng > Ngân hàng TNHH Một thành viên United Overseas Bank (Việt Nam) (iv),Ngân hàng TNHH Một thành viên United Overseas Bank (Việt Nam) (iv),,,"3,95% - 4,15%",Không quá 120 ngày kể từ ngày giải ngân.,536.622.767.537,53.000.000.000,,,,,536622767537.0,53000000000.0
Ngân hàng Thương mại Cổ phần À Châu - Chi nhánh Tân Thuận (v),Ngân hàng > Ngân hàng Thương mại Cổ phần À Châu - Chi nhánh Tân Thuận (v),Ngân hàng Thương mại Cổ phần À Châu - Chi nhánh Tân Thuận (v),,,"3,9% - 4,1%",Thời hạn vay tối đa là 6 tháng kể từ ngày kể tiếp của ngày giải ngân,209.894.118.637,-,,,,,209894118637.0,
Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh (vi),Ngân hàng > Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh (vi),Ngân hàng Thương mại Cổ phần Phát triển Thành phố Hồ Chí Minh (vi),,,"3,7% - 3,9%",Theo từng khê uốc nhận nợ,198.543.417.233,-,,,,,198543417233.0,
Ngân hàng Đại chủng TNHH Kasikombank - Chi nhánh Thành phố Hồ Chí Minh (vii),Ngân hàng > Ngân hàng Đại chủng TNHH Kasikombank - Chi nhánh Thành phố Hồ Chí Minh (vii),Ngân hàng Đại chủng TNHH Kasikombank - Chi nhánh Thành phố Hồ Chí Minh (vii),,,(*),Không quá 120 ngày kể từ ngày giải ngân.,-,15.029.371.725,,,,,,15029371725.0
