row_label_raw,row_label_full,Tên ngân hàng,Số cuối năm,Nguyên tệ,Thời hạn thanh toán và ngày đáo hạn,Lãi suất,"Tài sản thế chấp(TM số 5, 10, 11, 12, 13 và 14)",numeric__Số cuối năm,numeric__Nguyên tệ,numeric__Thời hạn thanh toán và ngày đáo hạn,numeric__Lãi suất,"numeric__Tài sản thế chấp(TM số 5, 10, 11, 12, 13 và 14)"
Tên ngân hàng,Tên ngân hàng,Tên ngân hàng,Ngàn VND,USD,,,,,,,,
"BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định","BIDV, Chi nhánh Bình Định",,,,,
Khoản vay 1(của Nhóm công ty Mía đường vào ngày 31 tháng 8 năm 2016),"BIDV, Chi nhánh Bình Định > Khoản vay 1(của Nhóm công ty Mía đường vào ngày 31 tháng 8 năm 2016)",Khoản vay 1(của Nhóm công ty Mía đường vào ngày 31 tháng 8 năm 2016),577.159.925,25.772.235,Từ ngày 30 tháng 12 năm 2016 đến ngày 21 tháng 4 năm 2023,"Lãi suất huy động tiết kiệm của BIDV bằng USD kỳ hạn 12 tháng trả lãi sau +3,5%/năm(2016: 7%/năm)","Quyền thuê và tài sản gắn liền với quy mô 51 ha đất tại Huyện Phou Vong, Tĩnh Attapeu, Lào của Công ty TNHH Mía đường Hoàng Anh Attapeu",577159925.0,25772235.0,,,
Khoản vay 2,"BIDV, Chi nhánh Bình Định > Khoản vay 2",Khoản vay 2,656.877.232,29.436.736,Từ ngày 25 tháng 3 năm 2015 đến ngày 25 tháng 12 năm 2022,"Lãi suất huy động tiết kiệm của BIDV bằng USD kỳ hạn 12 tháng trả lãi sau +5%/năm (2016: 7,5%/năm)","Cao ốc Hoàng Văn Thụ, Thành phố Pleiku, Tĩnh Gia Lai; quyền sử dụng đất tại Hồ sinh thái Đống Đa, Thành phố Quy Nhơn; nhà máy đá Grannite HAGL tại Tĩnh Gia Lai; số dư tiền gửi ngân hàng 52.399.463 ngân VND tại BIDV (TM số 5); quyền sử dụng 6.993,2 \( m^{2} \) đất tại Phù Đồng, Pleiku, Gia Lai - thuộc sở hữu của Công ty; 117 cần hộ thuộc khu cần hộ cao cấp HAGL-BIDV gắn liền quyền sử dụng đất tại Tĩnh Đắk Lắk của Công ty Cổ phần Hoàng Anh Đắk Lắk; và một phần quyền thuê đất và tài sản gắn liền trên đất bao gồm 5.588 ha cao su và 2.093,6 ha cọ đầu tại Tĩnh Attapeu, Lào của HAA",656877232.0,29436736.0,,,
TỔNG CỘNG BIDV,"BIDV, Chi nhánh Bình Định > TỔNG CỘNG BIDV",TỔNG CỘNG BIDV,3.778.546.313,,,,,3778546313.0,,,,
Trong đó:Vay dài hạn đến hạn trả,"BIDV, Chi nhánh Bình Định > Trong đó:Vay dài hạn đến hạn trả",Trong đó:Vay dài hạn đến hạn trả,338.652.495,,,,,338652495.0,,,,
