row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Nhà cửa, vật kiến trúc",Văn phòng cho thuê,Trung tâm thương mại,Ngàn VND Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Nhà cửa, vật kiến trúc",numeric__Văn phòng cho thuê,numeric__Trung tâm thương mại,numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,64.477.600,19.597.252,-,-,84.074.852,64477600.0,19597252.0,,,84074852.0
Chuyển từ xây dựng cơ bản dở dang hoàn thành (*),Nguyên giá > Chuyển từ xây dựng cơ bản dở dang hoàn thành (*),Chuyển từ xây dựng cơ bản dở dang hoàn thành (*),-,-,2.409.421.034,1.138.843.022,3.548.264.056,,,2409421034.0,1138843022.0,3548264056.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,(64.477.600),-,-,-,(64.477.600),-64477600.0,,,,-64477600.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,-,19.597.252,2.409.421.034,1.138.843.022,3.567.861.308,,19597252.0,2409421034.0,1138843022.0,3567861308.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,-,(2.349.358),-,-,(2.349.358),,-2349358.0,,,-2349358.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,(684.083),(31.772.520),(22.516.125),(54.972.728),,-684083.0,-31772520.0,-22516125.0,-54972728.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,-,(3.033.441),(31.772.520),(22.516.125),(57.322.086),,-3033441.0,-31772520.0,-22516125.0,-57322086.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,64.477.600,17.247.894,-,-,81.725.494,64477600.0,17247894.0,,,81725494.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,-,16.563.811,2.377.648.514,1.116.326.897,3.510.539.222,,16563811.0,2377648514.0,1116326897.0,3510539222.0
Trong đó: Tài sản sử dụng đề cảm có /the cháp các khoản vay (TM số 25),Giá trị còn lại > Trong đó: Tài sản sử dụng đề cảm có /the cháp các khoản vay (TM số 25),Trong đó: Tài sản sử dụng đề cảm có /the cháp các khoản vay (TM số 25),-,16.563.811,2.377.648.514,1.116.326.897,3.510.539.222,,16563811.0,2377648514.0,1116326897.0,3510539222.0
