row_label_raw,row_label_full,col_0,Số đầu năm,Số tăng trong năm,Số giảm trong năm,Ngàn VND Số cuối năm,numeric__Số đầu năm,numeric__Số tăng trong năm,numeric__Số giảm trong năm,numeric__Ngàn VND Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp (TM số 35.1),Phải thu > Thuế thu nhập doanh nghiệp (TM số 35.1),Thuế thu nhập doanh nghiệp (TM số 35.1),1.519.411,-,-,1.519.411,1519411.0,,,1519411.0
Thuế khác,Phải thu > Thuế khác,Thuế khác,719.366,12.102.687,(3.282.293),9.539.760,719366.0,12102687.0,-3282293.0,9539760.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,2.238.777,12.102.687,(3.282.293),11.059.171,2238777.0,12102687.0,-3282293.0,11059171.0
Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,Phải trả,,,,
Thuế giá trị gia tăng,Phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,162.239.198,107.414.388,(168.013.814),101.639.772,162239198.0,107414388.0,-168013814.0,101639772.0
Thuế thu nhập doanh nghiệp (TM số 35.1),Phải trả > Thuế thu nhập doanh nghiệp (TM số 35.1),Thuế thu nhập doanh nghiệp (TM số 35.1),67.994.260,21.990.156,(25.424.754),64.559.662,67994260.0,21990156.0,-25424754.0,64559662.0
Thuế thu nhập cá nhân,Phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,6.582.518,11.285.867,(4.739.358),13.129.027,6582518.0,11285867.0,-4739358.0,13129027.0
Thuế khác,Phải trả > Thuế khác,Thuế khác,38.584.900,20.300.922,(42.465.887),16.419.935,38584900.0,20300922.0,-42465887.0,16419935.0
TỔNG CỘNG,Phải trả > TỔNG CỘNG,TỔNG CỘNG,275.400.876,160.991.333,(240.643.813),195.748.396,275400876.0,160991333.0,-240643813.0,195748396.0
