row_label_raw,row_label_full,Tên ngân hàng,Số cuối năm > Ngàn VND,Nguyên tệ > Ngàn VND,Nguyên tệ > USD,Thời hạn thanh toán và ngày đáo hạn,Lãi suất,"Tài sản thế chấp(TM số 5, 10, 11, 12, 13 và 14)",numeric__Số cuối năm > Ngàn VND,numeric__Nguyên tệ > Ngàn VND,numeric__Nguyên tệ > USD,numeric__Thời hạn thanh toán và ngày đáo hạn,numeric__Lãi suất,"numeric__Tài sản thế chấp(TM số 5, 10, 11, 12, 13 và 14)"
"Ngân hàng Lào - Việt (""LVB""), Chi nhánh Attapeu (tiếp theo)","Ngân hàng Lào - Việt (""LVB""), Chi nhánh Attapeu (tiếp theo)","Ngân hàng Lào - Việt (""LVB""), Chi nhánh Attapeu (tiếp theo)","Ngân hàng Lào - Việt (""LVB""), Chi nhánh Attapeu (tiếp theo)","Ngân hàng Lào - Việt (""LVB""), Chi nhánh Attapeu (tiếp theo)","Ngân hàng Lào - Việt (""LVB""), Chi nhánh Attapeu (tiếp theo)","Ngân hàng Lào - Việt (""LVB""), Chi nhánh Attapeu (tiếp theo)","Ngân hàng Lào - Việt (""LVB""), Chi nhánh Attapeu (tiếp theo)","Ngân hàng Lào - Việt (""LVB""), Chi nhánh Attapeu (tiếp theo)",,,,,,
Khoản vay 4,"Ngân hàng Lào - Việt (""LVB""), Chi nhánh Attapeu (tiếp theo) > Khoản vay 4",Khoản vay 4,223.844.283,-,10.027.500,Từ ngày 25 tháng 1 năm2019 đến ngày 25 tháng10 năm 2022,"9,5%/năm","Quyền sử dụng 03 lô đất 1.001,78ha tại Laman,Xekong, Lào thuộc sở hữu của công ty TNHCCông nghiệp - Nông nghiệp Cao su HAQM. Toảnbộ tài sản trên đất là công trình xây dựng, máymóc thiết bị để thực hiện dự án nuôi bò trị giá11.372.722USD; Toản bộ số đàn bò nhập về trịgiá 26.460.000USD",223844283.0,,10027500.0,,,
Khoản vay 5 (*),"Ngân hàng Lào - Việt (""LVB""), Chi nhánh Attapeu (tiếp theo) > Khoản vay 5 (*)",Khoản vay 5 (*),96.611.855,-,4.329.481,Từ ngày 25 tháng 2 năm2017 đến ngày 30 tháng11 năm 2020,"9,5 -10,5%/năm","Tất cả các dụng cụ xây dựng, vật tư máy mócphục vụ cho dự án xây dựng nhà máy chế biếncọ đầu phát sinh sau khi bò vốn đầu tư thuộc sởhữu bởi HAA",96611855.0,,4329481.0,,,
Tổng cộng Ngân hàng Lào - Việt,"Ngân hàng Lào - Việt (""LVB""), Chi nhánh Attapeu (tiếp theo) > Tổng cộng Ngân hàng Lào - Việt",Tổng cộng Ngân hàng Lào - Việt,1.391.677.219,,,,,,1391677219.0,,,,,
Trong đó:Vay dài hạnđến hạn trả,"Ngân hàng Lào - Việt (""LVB""), Chi nhánh Attapeu (tiếp theo) > Trong đó:Vay dài hạnđến hạn trả",Trong đó:Vay dài hạnđến hạn trả,24.177.754,,,,,,24177754.0,,,,,
