row_label_raw,row_label_full,Tên ngân hàng,Số cuối năm > Ngàn VND,Nguyên tệ > Ngàn VND,Nguyên tệ > USD,Thời hạn thanh toán và ngày đáo hạn,Lãi suất,"Tài sản thế chấp (TM số 10, 11, 12, 13 và 14)",numeric__Số cuối năm > Ngàn VND,numeric__Nguyên tệ > Ngàn VND,numeric__Nguyên tệ > USD,numeric__Thời hạn thanh toán và ngày đáo hạn,numeric__Lãi suất,"numeric__Tài sản thế chấp (TM số 10, 11, 12, 13 và 14)"
"BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai","BIDV, Chi nhánh Gia Lai",,,,,,
Khoản vay 1,"BIDV, Chi nhánh Gia Lai > Khoản vay 1",Khoản vay 1,504.124.600,504.124.600,-,Từ ngày 1 tháng 5 năm 2017 đến ngày 8 tháng 7 năm 2017,"6,5 - 9%/năm","Tài sản hình thành từ vốn vay thuộc dự án chắn nuôi bò thịt tại Huyện Chuprong, Tỉnh Gia Lai của Công ty Cổ phần Bỏ sữa Tây Nguyên (""BSTN"")",504124600.0,504124600.0,,,,
Khoản vay 2,"BIDV, Chi nhánh Gia Lai > Khoản vay 2",Khoản vay 2,37.309.517,37.309.517,-,Từ ngày 2 tháng 5 năm 2017 đến ngày 27 tháng 9 năm 2017,"8,64 - 10,2%/năm","Bệnh viện Đại học Y Dược HAGL bao gồm quyền sử dụng đất, nhà ở và tài sản gắn liền với đất trị giá 257 tỷ VND; máy móc thiết bị, phương tiện vận tải tổng trị giá 50,7 tỷ VND",37309517.0,37309517.0,,,,
TỔNG CỘNG,"BIDV, Chi nhánh Gia Lai > TỔNG CỘNG",TỔNG CỘNG,541.434.117,,,,,,541434117.0,,,,,
