row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Trả trước cho nhà cung cấp hàng hóa và dịch vụ,Trả trước cho nhà cung cấp hàng hóa và dịch vụ,Trả trước cho nhà cung cấp hàng hóa và dịch vụ,1.084.871.410,755.208.152,1084871410.0,755208152.0
"Trả trước cho nhà thầu của các công trình xây dựng căn hộ và mua máy móc, thiết bị","Trả trước cho nhà thầu của các công trình xây dựng căn hộ và mua máy móc, thiết bị","Trả trước cho nhà thầu của các công trình xây dựng căn hộ và mua máy móc, thiết bị",226.917.728,585.491.717,226917728.0,585491717.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
HongKong Tongqing International Trading Limited Company,Trong đó: > HongKong Tongqing International Trading Limited Company,HongKong Tongqing International Trading Limited Company,-,244.247.966,,244247966.0
Công ty TNHH Diary Việt Nam,Trong đó: > Công ty TNHH Diary Việt Nam,Công ty TNHH Diary Việt Nam,26.295.632,-,26295632.0,
Trả trước cho các nhà thầu khác,Trong đó: > Trả trước cho các nhà thầu khác,Trả trước cho các nhà thầu khác,200.622.096,341.243.751,200622096.0,341243751.0
Trả trước cho thầu phụ các dự án sân bay,Trong đó: > Trả trước cho thầu phụ các dự án sân bay,Trả trước cho thầu phụ các dự án sân bay,3.214.912,320.383.086,3214912.0,320383086.0
Trả trước cho việc mua đất và các dự án bất động sân,Trong đó: > Trả trước cho việc mua đất và các dự án bất động sân,Trả trước cho việc mua đất và các dự án bất động sân,1.834.466,-,1834466.0,
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,1.316.838.516,1.661.082.955,1316838516.0,1661082955.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Trả trước các bên liên quan (TM số 36),Trong đó: > Trả trước các bên liên quan (TM số 36),Trả trước các bên liên quan (TM số 36),731.281.859,489.232.072,731281859.0,489232072.0
Trả trước các bên khác,Trong đó: > Trả trước các bên khác,Trả trước các bên khác,585.556.657,1.171.850.883,585556657.0,1171850883.0
