row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Doanh thu gộp,Doanh thu gộp,Doanh thu gộp,6.441.028.981,6.252.482.061,6441028981.0,6252482061.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán bò,Trong đó: > Doanh thu bán bò,Doanh thu bán bò,3.466.253.714,2.541.497.017,3466253714.0,2541497017.0
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,689.004.439,614.231.760,689004439.0,614231760.0
Doanh thu từ các sản phẩm ngành đường,Trong đó: > Doanh thu từ các sản phẩm ngành đường,Doanh thu từ các sản phẩm ngành đường,468.841.325,871.366.579,468841325.0,871366579.0
Doanh thu từ dịch vụ cho thuê,Trong đó: > Doanh thu từ dịch vụ cho thuê,Doanh thu từ dịch vụ cho thuê,460.341.756,13.787.888,460341756.0,13787888.0
Doanh thu từ chuyển nhượng bất động sản,Trong đó: > Doanh thu từ chuyển nhượng bất động sản,Doanh thu từ chuyển nhượng bất động sản,419.000.000,-,419000000.0,
Doanh thu từ cung cấp dịch vụ khác,Trong đó: > Doanh thu từ cung cấp dịch vụ khác,Doanh thu từ cung cấp dịch vụ khác,328.474.397,238.787.287,328474397.0,238787287.0
Doanh thu bán căn hộ,Trong đó: > Doanh thu bán căn hộ,Doanh thu bán căn hộ,206.880.422,198.041.907,206880422.0,198041907.0
Doanh thu bán bắp,Trong đó: > Doanh thu bán bắp,Doanh thu bán bắp,135.764.750,323.258.716,135764750.0,323258716.0
Doanh thu bán mũ cao su,Trong đó: > Doanh thu bán mũ cao su,Doanh thu bán mũ cao su,114.025.799,196.279.407,114025799.0,196279407.0
Doanh thu từ các hợp đồng xây dựng,Trong đó: > Doanh thu từ các hợp đồng xây dựng,Doanh thu từ các hợp đồng xây dựng,87.964.779,1.040.289.682,87964779.0,1040289682.0
Doanh thu thanh lý bất động sản đầu tư,Trong đó: > Doanh thu thanh lý bất động sản đầu tư,Doanh thu thanh lý bất động sản đầu tư,64.477.600,214.941.818,64477600.0,214941818.0
Khoản giảm trừ,Trong đó: > Khoản giảm trừ,Khoản giảm trừ,(1.249.713),(35.528),-1249713.0,-35528.0
Hàng bán trả lại,Trong đó: > Hàng bán trả lại,Hàng bán trả lại,(1.249.713),(35.528),-1249713.0,-35528.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,6.439.779.268,6.252.446.533,6439779268.0,6252446533.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán bò,Trong đó: > Doanh thu bán bò,Doanh thu bán bò,3.465.004.001,2.541.497.017,3465004001.0,2541497017.0
Doanh thu bán hàng hóa,Trong đó: > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,689.004.439,614.196.232,689004439.0,614196232.0
Doanh thu từ các sản phẩm ngành đường,Trong đó: > Doanh thu từ các sản phẩm ngành đường,Doanh thu từ các sản phẩm ngành đường,468.841.325,871.366.579,468841325.0,871366579.0
Doanh thu từ dịch vụ thuê,Trong đó: > Doanh thu từ dịch vụ thuê,Doanh thu từ dịch vụ thuê,460.341.756,13.787.888,460341756.0,13787888.0
Doanh thu từ chuyển nhượng bất động sản,Trong đó: > Doanh thu từ chuyển nhượng bất động sản,Doanh thu từ chuyển nhượng bất động sản,419.000.000,-,419000000.0,
Doanh thu từ cung cấp dịch vụ khác,Trong đó: > Doanh thu từ cung cấp dịch vụ khác,Doanh thu từ cung cấp dịch vụ khác,328.474.397,238.787.287,328474397.0,238787287.0
Doanh thu bán căn hộ,Trong đó: > Doanh thu bán căn hộ,Doanh thu bán căn hộ,206.880.422,198.041.907,206880422.0,198041907.0
Doanh thu bán bắp,Trong đó: > Doanh thu bán bắp,Doanh thu bán bắp,135.764.750,323.258.716,135764750.0,323258716.0
Doanh thu bán mũ cao su,Trong đó: > Doanh thu bán mũ cao su,Doanh thu bán mũ cao su,114.025.799,196.279.407,114025799.0,196279407.0
Doanh thu từ các hợp đồng xây dựng,Trong đó: > Doanh thu từ các hợp đồng xây dựng,Doanh thu từ các hợp đồng xây dựng,87.964.779,1.040.289.682,87964779.0,1040289682.0
Doanh thu thanh lý bất động sản đầu tư,Trong đó: > Doanh thu thanh lý bất động sản đầu tư,Doanh thu thanh lý bất động sản đầu tư,64.477.600,214.941.818,64477600.0,214941818.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu thuần với các bên khác,Trong đó: > Doanh thu thuần với các bên khác,Doanh thu thuần với các bên khác,5.665.031.413,5.126.980.699,5665031413.0,5126980699.0
Doanh thu thuần với các bên liên quan,Trong đó: > Doanh thu thuần với các bên liên quan,Doanh thu thuần với các bên liên quan,774.747.855,1.125.465.834,774747855.0,1125465834.0
