row_label_raw,row_label_full,Tên công ty con,Tên công ty con_1,Trụ sở,Tình trạng hoạt động,Tỷ lệ sở hữu (%),numeric__Tên công ty con_1,numeric__Trụ sở,numeric__Tình trạng hoạt động,numeric__Tỷ lệ sở hữu (%)
Lĩnh vực nông nghiệp (tiếp theo),Lĩnh vực nông nghiệp (tiếp theo),Lĩnh vực nông nghiệp (tiếp theo),Lĩnh vực nông nghiệp (tiếp theo),Lĩnh vực nông nghiệp (tiếp theo),Lĩnh vực nông nghiệp (tiếp theo),Lĩnh vực nông nghiệp (tiếp theo),,,,
(15),Lĩnh vực nông nghiệp (tiếp theo) > (15),(15),"Công ty TNHH Phát triển Nông nghiệp Hoàng Anh Attapeu (""HAA"")","Tỉnh Attapeu, Lào",Đang hoạt động,"75,02",,,,75.02
(16),Lĩnh vực nông nghiệp (tiếp theo) > (16),(16),Công ty TNHH MTV Hoàng Anh An Đông Meas,"Rattanakiri, Campuchia",Đang hoạt động,"73,35",,,,73.35
(17),Lĩnh vực nông nghiệp (tiếp theo) > (17),(17),Công ty TNHH Hoàng Anh Oyadav,"Rattanakiri, Campuchia",Trước hoạt động,"75,02",,,,75.02
(18),Lĩnh vực nông nghiệp (tiếp theo) > (18),(18),Công ty TNHH Heng Brothers,"Rattanakiri, Campuchia",Trước hoạt động,"75,02",,,,75.02
(19),Lĩnh vực nông nghiệp (tiếp theo) > (19),(19),Công ty TNHH CRD,"Rattanakiri, Campuchia",Trước hoạt động,"75,02",,,,75.02
(20),Lĩnh vực nông nghiệp (tiếp theo) > (20),(20),Công ty TNHH Hoàng Anh Rattanakiri,"Rattanakiri, Campuchia",Trước hoạt động,"75,02",,,,75.02
(21),Lĩnh vực nông nghiệp (tiếp theo) > (21),(21),Công ty Cổ phần Bò sữa Tây Nguyên,"Tỉnh Gia Lai, Việt Nam",Đang hoạt động,"74,27",,,,74.27
(22),Lĩnh vực nông nghiệp (tiếp theo) > (22),(22),Công ty Cổ phần An Đông Mia,"Tỉnh Gia Lai, Việt Nam",Đang hoạt động,"53,60",,,,53.6
(23),Lĩnh vực nông nghiệp (tiếp theo) > (23),(23),Công ty TNHH MTV Hoàng Anh Lumphat,"Rattanakiri, Campuchia",Trước hoạt động,"53,60",,,,53.6
(24),Lĩnh vực nông nghiệp (tiếp theo) > (24),(24),Công ty Cổ phần Đông Pênh,"Tỉnh Gia Lai, Việt Nam",Đang hoạt động,"74,80",,,,74.8
(25),Lĩnh vực nông nghiệp (tiếp theo) > (25),(25),Công ty TNHH Daun Penh Agrico,"Rattanakiri, Campuchia",Trước hoạt động,"74,80",,,,74.8
(26),Lĩnh vực nông nghiệp (tiếp theo) > (26),(26),Công ty TNHH Đầu tư và Phát triển Cao su Đông Dương,"TP.HCM, Việt Nam",Đang hoạt động,"75,02",,,,75.02
(27),Lĩnh vực nông nghiệp (tiếp theo) > (27),(27),Công ty TNHH Đầu tư Cao su Đông Âu,"TP.HCM, Việt Nam",Đang hoạt động,"75,02",,,,75.02
(28),Lĩnh vực nông nghiệp (tiếp theo) > (28),(28),Công ty TNHH Cao su Eastern (Cambodia),"Kratie, Campuchia",Trước hoạt động,"75,02",,,,75.02
(29),Lĩnh vực nông nghiệp (tiếp theo) > (29),(29),Công ty TNHH Bình Phước Kratie 2,"Kratie, Campuchia",Trước hoạt động,"75,02",,,,75.02
(30),Lĩnh vực nông nghiệp (tiếp theo) > (30),(30),Công ty TNHH Sovann Vuthy,"Kratie, Campuchia",Trước hoạt động,"75,02",,,,75.02
(31),Lĩnh vực nông nghiệp (tiếp theo) > (31),(31),Công ty Cổ phần Cao su Trung Nguyên,"Tỉnh Gia Lai, Việt Nam",Đang hoạt động,"74,96",,,,74.96
Lĩnh vực khai khoáng,Lĩnh vực khai khoáng,Lĩnh vực khai khoáng,Lĩnh vực khai khoáng,Lĩnh vực khai khoáng,Lĩnh vực khai khoáng,Lĩnh vực khai khoáng,,,,
(32),Lĩnh vực khai khoáng > (32),(32),Công ty TNHH MTV Khoáng sản Hoàng Anh Gia Lai,"Tỉnh Gia Lai, Việt Nam",Ngưng hoạt động,"99,40",,,,99.4
(33),Lĩnh vực khai khoáng > (33),(33),Công ty TNHH MTV Khoáng sản Hoàng Anh Gia Lai - Kon Tum,"Tỉnh Kontum, Việt Nam",Ngưng hoạt động,"99,40",,,,99.4
(34),Lĩnh vực khai khoáng > (34),(34),Công ty TNHH Khoáng sản Hoàng Anh Xêkông,"Tỉnh Attapeu, Lào",Ngưng hoạt động,"99,40",,,,99.4
