row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm (Trình bày lại - TM số 40),numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm (Trình bày lại - TM số 40)
Chi phí phát triển vườn cây cao su,Chi phí phát triển vườn cây cao su,Chi phí phát triển vườn cây cao su,9.412.151.145,6.617.428.619,9412151145.0,6617428619.0
Nhà máy thủy điện (*),Nhà máy thủy điện (*),Nhà máy thủy điện (*),3.435.534.450,3.305.411.052,3435534450.0,3305411052.0
Chi phí phát triển vườn cây cọ dầu,Chi phí phát triển vườn cây cọ dầu,Chi phí phát triển vườn cây cọ dầu,3.243.680.311,3.161.851.164,3243680311.0,3161851164.0
Nhà xưởng và nhà máy nông trường,Nhà xưởng và nhà máy nông trường,Nhà xưởng và nhà máy nông trường,694.803.144,589.682.433,694803144.0,589682433.0
Chi phí phát triển vườn cây ăn quả,Chi phí phát triển vườn cây ăn quả,Chi phí phát triển vườn cây ăn quả,638.772.312,-,638772312.0,
Chi phí dự án Khu phức hợp Hoàng Anh Gia Lai Myanmar,Chi phí dự án Khu phức hợp Hoàng Anh Gia Lai Myanmar,Chi phí dự án Khu phức hợp Hoàng Anh Gia Lai Myanmar,307.993.752,4.283.670.334,307993752.0,4283670334.0
Chi phí phát triển vườn tiêu,Chi phí phát triển vườn tiêu,Chi phí phát triển vườn tiêu,119.602.634,83.114.339,119602634.0,83114339.0
Văn phòng cho thuê,Văn phòng cho thuê,Văn phòng cho thuê,-,793.334.270,,793334270.0
Chi phí xây dựng chuồng bò,Chi phí xây dựng chuồng bò,Chi phí xây dựng chuồng bò,4.726.452,239.012.337,4726452.0,239012337.0
Học viện bóng đá HAGL - Arsenal JMG,Học viện bóng đá HAGL - Arsenal JMG,Học viện bóng đá HAGL - Arsenal JMG,39.910.578,47.140.970,39910578.0,47140970.0
Khác,Khác,Khác,86.689.634,68.035.342,86689634.0,68035342.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,17.983.864.412,19.188.680.860,17983864412.0,19188680860.0
