row_label_raw,row_label_full,col_0,col_1,Số cuối năm,Ngàn VND Số đầu năm,numeric__col_1,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,
Cho vay ngắn hạn bên liên quan (TM số 36),Ngắn hạn > Cho vay ngắn hạn bên liên quan (TM số 36),Cho vay ngắn hạn bên liên quan (TM số 36),(i),1.976.619.350,3.581.551.780,,1976619350.0,3581551780.0
Cho vay ngắn hạn các bên khác,Ngắn hạn > Cho vay ngắn hạn các bên khác,Cho vay ngắn hạn các bên khác,(ii),57.737.906,118.436.342,,57737906.0,118436342.0
,,,,2.034.357.256,3.699.988.122,,2034357256.0,3699988122.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,
Cho vay dài hạn bên liên quan (TM số 36),Dài hạn > Cho vay dài hạn bên liên quan (TM số 36),Cho vay dài hạn bên liên quan (TM số 36),(i),4.975.852.142,5.050.459.374,,4975852142.0,5050459374.0
Cho vay dài hạn các bên khác,Dài hạn > Cho vay dài hạn các bên khác,Cho vay dài hạn các bên khác,(ii),571.518.003,843.568.572,,571518003.0,843568572.0
Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu,Dài hạn > Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu,Cho vay dài hạn Chính phủ Lào - Dự án sân bay quốc tế Attapeu,(iii),170.000.598,167.980.345,,170000598.0,167980345.0
,,,,5.717.370.743,6.062.008.291,,5717370743.0,6062008291.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,7.751.727.999,9.761.996.413,,7751727999.0,9761996413.0
