row_label_raw,row_label_full,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên kết,Ứng trước mua hàng hóa và dịch vụ,702.918.509,467.936.006,numeric__Công ty liên kết,numeric__Ứng trước mua hàng hóa và dịch vụ,numeric__702.918.509,numeric__467.936.006
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên kết,Ứng trước mua tài sản,-,4.000.000,,,,4000000.0
Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Công ty Cổ phần Đầu tư và Tư vấn Xây dựng Á Đông,Công ty liên kết,Ứng trước phí tư vấn thiết kế,15.056.000,17.023.166,,,15056000.0,17023166.0
Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty liên quan,Ứng trước mua hàng hóa và dịch vụ,13.034.450,-,,,13034450.0,
Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty liên quan,Ứng trước dịch vụ xây dựng,272.900,272.900,,,272900.0,272900.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,731.281.859,489.232.072,,,731281859.0,489232072.0
