row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,1.535.617.649,1.217.547.588,1535617649.0,1217547588.0
Phải trả tiền mượn các công ty,Phải trả tiền mượn các công ty,Phải trả tiền mượn các công ty,900.490.146,1.117.587.465,900490146.0,1117587465.0
Phải trả lãi vay,Phải trả lãi vay,Phải trả lãi vay,240.759.476,635.570,240759476.0,635570.0
Phải các cá nhân khác,Phải các cá nhân khác,Phải các cá nhân khác,137.404.447,10.422.712,137404447.0,10422712.0
Phải trả tiền thuê đất,Phải trả tiền thuê đất,Phải trả tiền thuê đất,29.593.804,14.649.561,29593804.0,14649561.0
Phí bảo trì căn hộ,Phí bảo trì căn hộ,Phí bảo trì căn hộ,13.573.215,14.386.625,13573215.0,14386625.0
Các khoản khác,Các khoản khác,Các khoản khác,213.796.561,59.865.655,213796561.0,59865655.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả ngắn hạn các bên khác,Trong đó: > Phải trả ngắn hạn các bên khác,Phải trả ngắn hạn các bên khác,1.095.847.319,1.085.376.643,1095847319.0,1085376643.0
Phải trả ngắn hạn các bên liên quan (TM số 36),Trong đó: > Phải trả ngắn hạn các bên liên quan (TM số 36),Phải trả ngắn hạn các bên liên quan (TM số 36),439.770.330,132.170.945,439770330.0,132170945.0
Dài hạn,Trong đó: > Dài hạn,Dài hạn,1.374.575.760,546.724.865,1374575760.0,546724865.0
Phải trả Hợp đồng hợp tác kinh doanh (i),Trong đó: > Phải trả Hợp đồng hợp tác kinh doanh (i),Phải trả Hợp đồng hợp tác kinh doanh (i),550.000.000,-,550000000.0,
Nhận ký quỹ dài hạn (ii),Trong đó: > Nhận ký quỹ dài hạn (ii),Nhận ký quỹ dài hạn (ii),225.056.393,155.032.207,225056393.0,155032207.0
Tiền thuê đất phải trả,Trong đó: > Tiền thuê đất phải trả,Tiền thuê đất phải trả,202.945.354,185.951.658,202945354.0,185951658.0
Các khoản khác,Trong đó: > Các khoản khác,Các khoản khác,396.574.013,205.741.000,396574013.0,205741000.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả dài hạn các bên khác,Trong đó: > Phải trả dài hạn các bên khác,Phải trả dài hạn các bên khác,824.575.760,546.724.865,824575760.0,546724865.0
Phải trả dài hạn các bên liên quan (TM số 36),Trong đó: > Phải trả dài hạn các bên liên quan (TM số 36),Phải trả dài hạn các bên liên quan (TM số 36),550.000.000,-,550000000.0,
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,2.910.193.409,1.764.272.453,2910193409.0,1764272453.0
