row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Myanmar > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,numeric__Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,numeric__Lào > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,numeric__Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,numeric__Myanmar > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,numeric__Khác > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,numeric__Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,,
Doanh thu từ khách hàng bên ngoài,Doanh thu > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,3.232.724.397,2.506.968.190,64.613.336,527.589.610,107.883.735,6.439.779.268,3232724397.0,2506968190.0,64613336.0,527589610.0,107883735.0,6439779268.0
Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,Chi phí hình thành TSCĐ,,,,,,
Tài sản cố định hữu hình,Chi phí hình thành TSCĐ > Tài sản cố định hữu hình,Tài sản cố định hữu hình,1.614.370.980,941.132.740,363.692.108,457.265.687,-,3.376.461.515,1614370980.0,941132740.0,363692108.0,457265687.0,,3376461515.0
Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,Vào ngày 31 tháng 12 năm 2016,,,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,20.217.523.536,16.938.340.189,9.449.068.450,6.533.872.729,49.986.162,53.188.791.066,20217523536.0,16938340189.0,9449068450.0,6533872729.0,49986162.0,53188791066.0
Tiền,Các thông tin bộ phận khác > Tiền,Tiền,,,,,,791.208.293,,,,,,791208293.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,,,865.766.030,,,,,,865766030.0
Tài sản không phân bổ,Các thông tin bộ phận khác > Tài sản không phân bổ,Tài sản không phân bổ,,,,,,(2.082.295.788),,,,,,-2082295788.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,,,52.763.469.601,,,,,,52763469601.0
