row_label_raw,row_label_full,col_0,Giá trị theo hợp đồng,Giá trị đã ghi nhận,Ngàn VNDGiá trị cam kết còn lại,numeric__Giá trị theo hợp đồng,numeric__Giá trị đã ghi nhận,numeric__Ngàn VNDGiá trị cam kết còn lại
Dự án thủy điện,Dự án thủy điện,Dự án thủy điện,,,,,,
Dự án Nậm Kông 3,Dự án thủy điện > Dự án Nậm Kông 3,Dự án Nậm Kông 3,1.667.250.000,679.840.474,987.409.526,1667250000.0,679840474.0,987409526.0
Dự án bất động sản,Dự án bất động sản,Dự án bất động sản,,,,,,
Dự án Myanmar,Dự án bất động sản > Dự án Myanmar,Dự án Myanmar,9.810.680.000,4.918.172.179,4.892.507.821,9810680000.0,4918172179.0,4892507821.0
TỔNG CỘNG,Dự án bất động sản > TỔNG CỘNG,TỔNG CỘNG,11.477.930.000,5.598.012.653,5.879.917.347,11477930000.0,5598012653.0,5879917347.0
