row_label_raw,row_label_full,Ngàn VND
Giá trị hợp lý,Giá trị hợp lý,Giá trị hợp lý
được xác định,được xác định,được xác định
tạm thời ghi nhận,tạm thời ghi nhận,tạm thời ghi nhận
tại ngày mua,tại ngày mua,tại ngày mua
