row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócthiết bị,Phương tiệnvận chuyển,Thiết bịvăn phòng,Vật nuôi và câytrồng lâu năm,Tài sản khác,Ngàn VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócthiết bị,numeric__Phương tiệnvận chuyển,numeric__Thiết bịvăn phòng,numeric__Vật nuôi và câytrồng lâu năm,numeric__Tài sản khác,numeric__Ngàn VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,2.027.845.679,1.721.098.732,1.253.985.172,8.472.187,2.045.893.942,59.226.504,7.116.522.216,2027845679.0,1721098732.0,1253985172.0,8472187.0,2045893942.0,59226504.0,7116522216.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.385.831.507,399.016.524,838.802.168,427.498,1.141.113.289,5.670.836,3.770.861.822,1385831507.0,399016524.0,838802168.0,427498.0,1141113289.0,5670836.0,3770861822.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,1.246.653.866,346.028.989,691.260.000,-,775.786.194,864.581,3.060.593.630,1246653866.0,346028989.0,691260000.0,,775786194.0,864581.0,3060593630.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,117.672.423,42.042.608,120.655.921,316.450,321.859.777,4.862.728,607.409.907,117672423.0,42042608.0,120655921.0,316450.0,321859777.0,4862728.0,607409907.0
Tăng từ mua công ty con,Nguyên giá > Tăng từ mua công ty con,Tăng từ mua công ty con,25.988.803,2.021.522,56.974.590,107.770,71.217.751,-,156.310.436,25988803.0,2021522.0,56974590.0,107770.0,71217751.0,,156310436.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,(4.483.585),8.923.405,(30.088.343),3.278,(27.750.433),(56.473),(53.452.151),-4483585.0,8923405.0,-30088343.0,3278.0,-27750433.0,-56473.0,-53452151.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(64.488.033),(58.997.360),(94.439.890),(668.631),(576.661.868),(15.313.305),(810.569.087),-64488033.0,-58997360.0,-94439890.0,-668631.0,-576661868.0,-15313305.0,-810569087.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(64.076.595),(16.504.865),(85.995.350),(668.631),(576.661.868),(15.313.305),(759.220.614),-64076595.0,-16504865.0,-85995350.0,-668631.0,-576661868.0,-15313305.0,-759220614.0
Thanh lý công ty con,Nguyên giá > Thanh lý công ty con,Thanh lý công ty con,(411.438),(42.492.495),(8.444.540),-,-,-,(51.348.473),-411438.0,-42492495.0,-8444540.0,,,,-51348473.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,3.349.189.153,2.061.117.896,1.998.347.450,8.231.054,2.610.345.363,49.584.035,10.076.814.951,3349189153.0,2061117896.0,1998347450.0,8231054.0,2610345363.0,49584035.0,10076814951.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(252.300.871),(346.413.427),(217.479.551),(5.016.403),(102.967.326),(15.566.219),(939.743.797),-252300871.0,-346413427.0,-217479551.0,-5016403.0,-102967326.0,-15566219.0,-939743797.0
Tăng trong năm,Giá trị khấu hao lũy kế > Tăng trong năm,Tăng trong năm,(134.861.312),(130.502.471),(139.575.551),(992.084),(162.266.923),(5.671.949),(573.870.290),-134861312.0,-130502471.0,-139575551.0,-992084.0,-162266923.0,-5671949.0,-573870290.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(132.291.081),(130.631.131),(130.862.985),(914.036),(168.651.116),(5.715.250),(569.065.599),-132291081.0,-130631131.0,-130862985.0,-914036.0,-168651116.0,-5715250.0,-569065599.0
Tăng từ mua công ty con,Giá trị khấu hao lũy kế > Tăng từ mua công ty con,Tăng từ mua công ty con,(9.018.726),(964.918),(11.715.083),(74.570),(4.515.051),-,(26.288.348),-9018726.0,-964918.0,-11715083.0,-74570.0,-4515051.0,,-26288348.0
