row_label_raw,row_label_full,col_0,Bất động sản,Sản xuất,Thương mại và dịch vụ,Xây dựng,Nông nghiệp,Năng lượng,Khoáng sản,Loại trừ,Ngân VNDTổng công,numeric__Bất động sản,numeric__Sản xuất,numeric__Thương mại và dịch vụ,numeric__Xây dựng,numeric__Nông nghiệp,numeric__Năng lượng,numeric__Khoáng sản,numeric__Loại trừ,numeric__Ngân VNDTổng công
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2016,,,,,,,,,
Doanh thu,Doanh thu,Doanh thu,,,,,,,,,,,,,,,,,,
Từ khách hàng bên ngoài,Doanh thu > Từ khách hàng bên ngoài,Từ khách hàng bên ngoài,690.358.022,662.806.980,788.159.732,87.964.779,4.209.833.333,656.422,-,,6.439.779.268,690358022.0,662806980.0,788159732.0,87964779.0,4209833333.0,656422.0,,,6439779268.0
Giữa các bộ phận,Doanh thu > Giữa các bộ phận,Giữa các bộ phận,-,416.293.248,54.029.012,42.484.635,412.703.686,-,-,(925.510.581),-,,416293248.0,54029012.0,42484635.0,412703686.0,,,-925510581.0,
Tổng cộng,Doanh thu > Tổng cộng,Tổng cộng,690.358.022,1.079.100.228,842.188.744,130.449.414,4.622.537.019,656.422,-,(925.510.581),6.439.779.268,690358022.0,1079100228.0,842188744.0,130449414.0,4622537019.0,656422.0,,-925510581.0,6439779268.0
Kết quả của bộ phận,Doanh thu > Kết quả của bộ phận,Kết quả của bộ phận,112.831.468,163.378.207,326.552.573,(97.636.061),503.357.917,656.422,-,-,1.009.140.526(1.700.534.769),112831468.0,163378207.0,326552573.0,-97636061.0,503357917.0,656422.0,,,
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,,,,,,,,,,,,,,,,,,
"Lỗ trước thuế, thu nhập","Lỗ trước thuế, thu nhập","Lỗ trước thuế, thu nhập",,,,,,,,,,,,,,,,,,
tài chính và chi phí tài chính,"Lỗ trước thuế, thu nhập > tài chính và chi phí tài chính",tài chính và chi phí tài chính,,,,,,,,,(691.394.243),,,,,,,,,-691394243.0
Thu nhập tài chính,"Lỗ trước thuế, thu nhập > Thu nhập tài chính",Thu nhập tài chính,,,,,,,,,947.916.097,,,,,,,,,947916097.0
