row_label_raw,row_label_full,col_0,Năm nay,Ngàn VNDNăm trước,numeric__Năm nay,numeric__Ngàn VNDNăm trước
Tổng (lỗ) lợi nhuận kế toán trước thuế,Tổng (lỗ) lợi nhuận kế toán trước thuế,Tổng (lỗ) lợi nhuận kế toán trước thuế,(1.406.287.691),806.212.213,-1406287691.0,806212213.0
Các khoản điều chỉnh tăng (giảm),Các khoản điều chỉnh tăng (giảm),Các khoản điều chỉnh tăng (giảm),Các khoản điều chỉnh tăng (giảm),Các khoản điều chỉnh tăng (giảm),,
Điều chỉnh tăng,Điều chỉnh tăng,Điều chỉnh tăng,Điều chỉnh tăng,Điều chỉnh tăng,,
Lỗ từ các công ty con,Điều chỉnh tăng > Lỗ từ các công ty con,Lỗ từ các công ty con,1.724.866.566,393.289.083,1724866566.0,393289083.0
Lợi thế thương mại phân bổ,Điều chỉnh tăng > Lợi thế thương mại phân bổ,Lợi thế thương mại phân bổ,150.494.855,29.056.524,150494855.0,29056524.0
Lợi nhuận chưa thực hiện trên hợp nhất,Điều chỉnh tăng > Lợi nhuận chưa thực hiện trên hợp nhất,Lợi nhuận chưa thực hiện trên hợp nhất,44.218.911,241.817.159,44218911.0,241817159.0
Thay đổi chi phí phải trả,Điều chỉnh tăng > Thay đổi chi phí phải trả,Thay đổi chi phí phải trả,22.000.000,96.333.509,22000000.0,96333509.0
Tiền phạt,Điều chỉnh tăng > Tiền phạt,Tiền phạt,20.886.781,8.878.441,20886781.0,8878441.0
Các chi phí không có chứng từ hợp lệ,Điều chỉnh tăng > Các chi phí không có chứng từ hợp lệ,Các chi phí không có chứng từ hợp lệ,12.810.335,55.649.676,12810335.0,55649676.0
(Lỗ) lãi từ việc thanh lý công ty con,Điều chỉnh tăng > (Lỗ) lãi từ việc thanh lý công ty con,(Lỗ) lãi từ việc thanh lý công ty con,2.724.776,(29.925.898),2724776.0,-29925898.0
Các khoản khác,Điều chỉnh tăng > Các khoản khác,Các khoản khác,19.321.536,5.216.413,19321536.0,5216413.0
Điều chỉnh giảm,Điều chỉnh giảm,Điều chỉnh giảm,Điều chỉnh giảm,Điều chỉnh giảm,,
Chi phí lãi vay (đã được khấu trừ) được vốn hóa vào dự án trên báo cáo tài chính hợp nhất,Điều chỉnh giảm > Chi phí lãi vay (đã được khấu trừ) được vốn hóa vào dự án trên báo cáo tài chính hợp nhất,Chi phí lãi vay (đã được khấu trừ) được vốn hóa vào dự án trên báo cáo tài chính hợp nhất,(89.797.577),(182.693.504),-89797577.0,-182693504.0
Dự phòng các khoản đầu tư vào công ty con,Điều chỉnh giảm > Dự phòng các khoản đầu tư vào công ty con,Dự phòng các khoản đầu tư vào công ty con,(193.300.955),-,-193300955.0,
Lợi nhuận miễn thuế,Điều chỉnh giảm > Lợi nhuận miễn thuế,Lợi nhuận miễn thuế,(148.789.308),(728.821.481),-148789308.0,-728821481.0
Chênh lệch tỷ giá,Điều chỉnh giảm > Chênh lệch tỷ giá,Chênh lệch tỷ giá,30.902.557,(16.665.539),30902557.0,-16665539.0
Lãi (lỗ) từ các công ty liên kết,Điều chỉnh giảm > Lãi (lỗ) từ các công ty liên kết,Lãi (lỗ) từ các công ty liên kết,(11.710.281),1.898.163,-11710281.0,1898163.0
Chi phí trích trước năm trước được khấu trừ trong năm nay,Điều chỉnh giảm > Chi phí trích trước năm trước được khấu trừ trong năm nay,Chi phí trích trước năm trước được khấu trừ trong năm nay,(1.010.629),(2.499.412),-1010629.0,-2499412.0
Thu nhập cổ tức,Điều chỉnh giảm > Thu nhập cổ tức,Thu nhập cổ tức,(112.725),(230.425),-112725.0,-230425.0
Các khoản khác,Điều chỉnh giảm > Các khoản khác,Các khoản khác,(8.711.778),(3.349.750),-8711778.0,-3349750.0
Thu nhập chịu thuế vớc tính năm hiện hành chưa cần trừ lỗ năm trước,Điều chỉnh giảm > Thu nhập chịu thuế vớc tính năm hiện hành chưa cần trừ lỗ năm trước,Thu nhập chịu thuế vớc tính năm hiện hành chưa cần trừ lỗ năm trước,168.505.373,674.165.172,168505373.0,674165172.0
Lỗ các năm trước chuyển sang,Điều chỉnh giảm > Lỗ các năm trước chuyển sang,Lỗ các năm trước chuyển sang,(17.821.889),(14.063.566),-17821889.0,-14063566.0
Thu nhập chịu thuế vớc tính năm hiện hành sau khi cần trừ lỗ năm trước,Điều chỉnh giảm > Thu nhập chịu thuế vớc tính năm hiện hành sau khi cần trừ lỗ năm trước,Thu nhập chịu thuế vớc tính năm hiện hành sau khi cần trừ lỗ năm trước,150.683.484,660.101.606,150683484.0,660101606.0
Thuế TNDN vớc tính năm hiện hành,Điều chỉnh giảm > Thuế TNDN vớc tính năm hiện hành,Thuế TNDN vớc tính năm hiện hành,10.928.559,145.222.353,10928559.0,145222353.0
Điều chỉnh thuế TNDN trích (thừa) thiếu năm trước,Điều chỉnh giảm > Điều chỉnh thuế TNDN trích (thừa) thiếu năm trước,Điều chỉnh thuế TNDN trích (thừa) thiếu năm trước,(617.096),8.326.623,-617096.0,8326623.0
Chi phí thuế TNDN hiện hành vớc tính,Điều chỉnh giảm > Chi phí thuế TNDN hiện hành vớc tính,Chi phí thuế TNDN hiện hành vớc tính,10.311.463,153.548.976,10311463.0,153548976.0
Thuế TNDN phải trả đầu năm,Điều chỉnh giảm > Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,66.474.849,14.193.628,66474849.0,14193628.0
Tăng từ hợp nhất kinh doanh,Điều chỉnh giảm > Tăng từ hợp nhất kinh doanh,Tăng từ hợp nhất kinh doanh,11.678.693,8.331.737,11678693.0,8331737.0
Thuế TNDN đã trả trong năm,Điều chỉnh giảm > Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(25.424.754),(109.599.492),-25424754.0,-109599492.0
Thuế TNDN phải trả cuối năm,Điều chỉnh giảm > Thuế TNDN phải trả cuối năm,Thuế TNDN phải trả cuối năm,63.040.251,66.474.849,63040251.0,66474849.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Thuế TNDN phải trả (TM số 22),Trong đó: > Thuế TNDN phải trả (TM số 22),Thuế TNDN phải trả (TM số 22),64.559.662,67.994.260,64559662.0,67994260.0
Thuế TNDN nộp thừa (TM số 22),Trong đó: > Thuế TNDN nộp thừa (TM số 22),Thuế TNDN nộp thừa (TM số 22),(1.519.411),(1.519.411),-1519411.0,-1519411.0
